<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.01	00:00:00	1.14213	1.14233	1.14152	1.14231	726	0	9
2025.08.01	00:15:00	1.14228	1.14252	1.14191	1.14246	717	0	9
2025.08.01	00:30:00	1.14246	1.14280	1.14210	1.14275	535	0	9
2025.08.01	00:45:00	1.14276	1.14285	1.14222	1.14238	523	0	9
2025.08.01	01:00:00	1.14235	1.14285	1.14203	1.14259	691	0	9
2025.08.01	01:15:00	1.14258	1.14282	1.14197	1.14238	505	0	9
2025.08.01	01:30:00	1.14239	1.14247	1.14097	1.14119	630	0	9
2025.08.01	01:45:00	1.14119	1.14121	1.14044	1.14069	817	0	9
2025.08.01	02:00:00	1.14069	1.14140	1.14066	1.14131	564	0	9
2025.08.01	02:15:00	1.14130	1.14146	1.14091	1.14137	505	0	9
2025.08.01	02:30:00	1.14138	1.14147	1.14072	1.14077	510	0	9
2025.08.01	02:45:00	1.14076	1.14109	1.14054	1.14109	420	0	9
2025.08.01	03:00:00	1.14111	1.14217	1.14099	1.14216	490	0	9
2025.08.01	03:15:00	1.14214	1.14219	1.14147	1.14161	364	0	9
2025.08.01	03:30:00	1.14161	1.14187	1.14132	1.14179	303	0	9
2025.08.01	03:45:00	1.14180	1.14208	1.14164	1.14181	369	0	9
2025.08.01	04:00:00	1.14182	1.14212	1.14160	1.14186	361	0	9
2025.08.01	04:15:00	1.14186	1.14193	1.14162	1.14170	283	0	9
2025.08.01	04:30:00	1.14170	1.14210	1.14167	1.14183	259	0	9
2025.08.01	04:45:00	1.14183	1.14203	1.14152	1.14187	253	0	9
2025.08.01	05:00:00	1.14186	1.14210	1.14158	1.14189	407	0	9
2025.08.01	05:15:00	1.14189	1.14225	1.14175	1.14201	363	0	9
2025.08.01	05:30:00	1.14202	1.14274	1.14200	1.14272	376	0	9
2025.08.01	05:45:00	1.14273	1.14342	1.14263	1.14301	490	0	9
2025.08.01	06:00:00	1.14302	1.14335	1.14274	1.14311	776	0	9
2025.08.01	06:15:00	1.14311	1.14368	1.14307	1.14334	601	0	9
2025.08.01	06:30:00	1.14332	1.14377	1.14296	1.14328	637	0	9
2025.08.01	06:45:00	1.14326	1.14327	1.14257	1.14290	617	0	9
2025.08.01	07:00:00	1.14292	1.14338	1.14242	1.14245	877	0	9
2025.08.01	07:15:00	1.14245	1.14285	1.14217	1.14284	723	0	9
2025.08.01	07:30:00	1.14286	1.14303	1.14189	1.14211	711	0	9
2025.08.01	07:45:00	1.14210	1.14214	1.14121	1.14185	707	0	9
2025.08.01	08:00:00	1.14182	1.14193	1.14124	1.14149	553	0	9
2025.08.01	08:15:00	1.14149	1.14203	1.14121	1.14197	582	0	9
2025.08.01	08:30:00	1.14197	1.14201	1.14099	1.14114	697	0	9
2025.08.01	08:45:00	1.14114	1.14121	1.14050	1.14062	629	0	9
2025.08.01	09:00:00	1.14064	1.14124	1.14059	1.14096	432	0	9
2025.08.01	09:15:00	1.14094	1.14096	1.14009	1.14029	610	0	9
2025.08.01	09:30:00	1.14029	1.14060	1.13969	1.14004	577	0	9
2025.08.01	09:45:00	1.14004	1.14008	1.13927	1.14004	694	0	9
2025.08.01	10:00:00	1.14006	1.14112	1.14006	1.14108	648	0	9
2025.08.01	10:15:00	1.14110	1.14111	1.14037	1.14066	497	0	9
2025.08.01	10:30:00	1.14065	1.14173	1.14065	1.14114	632	0	9
2025.08.01	10:45:00	1.14113	1.14143	1.14078	1.14117	709	0	9
2025.08.01	11:00:00	1.14114	1.14220	1.14095	1.14195	646	0	9
2025.08.01	11:15:00	1.14195	1.14201	1.14106	1.14113	705	0	9
2025.08.01	11:30:00	1.14112	1.14140	1.14074	1.14121	510	0	9
2025.08.01	11:45:00	1.14119	1.14133	1.14038	1.14044	649	0	9
2025.08.01	12:00:00	1.14042	1.14064	1.14012	1.14053	737	0	9
2025.08.01	12:15:00	1.14054	1.14065	1.13909	1.13971	1197	0	8
2025.08.01	12:30:00	1.13974	1.15327	1.13965	1.15288	8276	0	8
2025.08.01	12:45:00	1.15289	1.15585	1.15251	1.15447	5722	0	9
2025.08.01	13:00:00	1.15449	1.15670	1.15364	1.15644	4742	0	9
2025.08.01	13:15:00	1.15643	1.15699	1.15434	1.15695	4114	0	9
2025.08.01	13:30:00	1.15693	1.15827	1.15640	1.15679	3831	0	9
2025.08.01	13:45:00	1.15683	1.15730	1.15501	1.15619	3104	0	9
2025.08.01	14:00:00	1.15622	1.15879	1.15538	1.15569	4982	0	9
2025.08.01	14:15:00	1.15571	1.15828	1.15567	1.15676	3281	0	9
2025.08.01	14:30:00	1.15674	1.15725	1.15574	1.15654	2912	0	9
2025.08.01	14:45:00	1.15652	1.15690	1.15506	1.15558	2517	0	9
2025.08.01	15:00:00	1.15556	1.15584	1.15472	1.15500	1647	0	9
2025.08.01	15:15:00	1.15500	1.15547	1.15359	1.15368	1554	0	9
2025.08.01	15:30:00	1.15368	1.15547	1.15362	1.15530	1277	0	9
2025.08.01	15:45:00	1.15531	1.15649	1.15521	1.15539	1157	0	9
2025.08.01	16:00:00	1.15537	1.15592	1.15479	1.15568	937	0	9
2025.08.01	16:15:00	1.15567	1.15645	1.15429	1.15445	1012	0	9
2025.08.01	16:30:00	1.15446	1.15477	1.15411	1.15420	872	0	9
