<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.01	17:45:00	1.35413	1.35432	1.35409	1.35424	123	0	0
2025.09.01	18:00:00	1.35424	1.35428	1.35413	1.35416	133	0	0
2025.09.01	18:15:00	1.35416	1.35432	1.35412	1.35426	116	0	0
2025.09.01	18:30:00	1.35427	1.35442	1.35422	1.35436	131	0	0
2025.09.01	18:45:00	1.35433	1.35446	1.35420	1.35439	160	0	0
2025.09.01	19:00:00	1.35439	1.35457	1.35437	1.35451	129	0	0
2025.09.01	19:15:00	1.35451	1.35470	1.35440	1.35468	132	0	0
2025.09.01	19:30:00	1.35468	1.35489	1.35461	1.35486	101	0	0
2025.09.01	19:45:00	1.35486	1.35494	1.35470	1.35487	157	0	0
2025.09.01	20:00:00	1.35483	1.35499	1.35479	1.35491	128	0	0
2025.09.01	20:15:00	1.35491	1.35499	1.35480	1.35494	124	0	0
2025.09.01	20:30:00	1.35492	1.35498	1.35481	1.35491	116	0	0
2025.09.01	20:45:00	1.35489	1.35491	1.35428	1.35432	186	0	0
2025.09.01	21:00:00	1.35429	1.35451	1.35412	1.35421	152	0	4
2025.09.01	21:15:00	1.35410	1.35443	1.35409	1.35441	175	0	19
2025.09.01	21:30:00	1.35441	1.35444	1.35417	1.35417	303	0	19
2025.09.01	21:45:00	1.35419	1.35435	1.35405	1.35408	223	0	9
2025.09.01	22:00:00	1.35439	1.35486	1.35427	1.35480	211	0	0
2025.09.01	22:15:00	1.35480	1.35487	1.35456	1.35457	130	0	0
2025.09.01	22:30:00	1.35460	1.35465	1.35443	1.35460	82	0	0
2025.09.01	22:45:00	1.35460	1.35468	1.35436	1.35447	113	0	0
2025.09.01	23:00:00	1.35447	1.35460	1.35441	1.35442	119	0	0
2025.09.01	23:15:00	1.35443	1.35471	1.35442	1.35462	134	0	0
2025.09.01	23:30:00	1.35462	1.35473	1.35457	1.35471	126	0	0
2025.09.01	23:45:00	1.35470	1.35495	1.35461	1.35461	239	0	0
2025.09.02	00:00:00	1.35462	1.35483	1.35382	1.35394	628	0	0
2025.09.02	00:15:00	1.35395	1.35415	1.35381	1.35399	404	0	0
2025.09.02	00:30:00	1.35399	1.35412	1.35354	1.35375	390	0	0
2025.09.02	00:45:00	1.35377	1.35405	1.35350	1.35375	489	0	0
2025.09.02	01:00:00	1.35379	1.35400	1.35338	1.35380	521	0	0
2025.09.02	01:15:00	1.35378	1.35418	1.35361	1.35395	460	0	0
2025.09.02	01:30:00	1.35395	1.35416	1.35331	1.35358	789	0	0
2025.09.02	01:45:00	1.35362	1.35395	1.35348	1.35364	567	0	0
2025.09.02	02:00:00	1.35365	1.35366	1.35262	1.35263	623	0	0
2025.09.02	02:15:00	1.35263	1.35276	1.35238	1.35258	520	0	0
2025.09.02	02:30:00	1.35256	1.35304	1.35244	1.35304	386	0	0
2025.09.02	02:45:00	1.35303	1.35303	1.35258	1.35294	377	0	0
2025.09.02	03:00:00	1.35293	1.35306	1.35271	1.35273	416	0	0
2025.09.02	03:15:00	1.35273	1.35299	1.35266	1.35285	340	0	0
2025.09.02	03:30:00	1.35285	1.35286	1.35243	1.35255	327	0	0
2025.09.02	03:45:00	1.35254	1.35267	1.35244	1.35259	293	0	0
2025.09.02	04:00:00	1.35259	1.35270	1.35231	1.35235	254	0	0
2025.09.02	04:15:00	1.35236	1.35298	1.35230	1.35280	296	0	0
2025.09.02	04:30:00	1.35278	1.35295	1.35252	1.35288	344	0	0
2025.09.02	04:45:00	1.35288	1.35304	1.35269	1.35276	303	0	0
2025.09.02	05:00:00	1.35276	1.35313	1.35271	1.35284	265	0	0
2025.09.02	05:15:00	1.35284	1.35288	1.35211	1.35211	340	0	0
2025.09.02	05:30:00	1.35210	1.35266	1.35206	1.35233	468	0	0
2025.09.02	05:45:00	1.35236	1.35241	1.35202	1.35208	433	0	0
2025.09.02	06:00:00	1.35210	1.35275	1.35210	1.35253	585	0	0
2025.09.02	06:15:00	1.35252	1.35265	1.35210	1.35228	611	0	0
2025.09.02	06:30:00	1.35225	1.35338	1.35222	1.35257	720	0	0
2025.09.02	06:45:00	1.35257	1.35312	1.35246	1.35312	591	0	0
2025.09.02	07:00:00	1.35314	1.35335	1.34629	1.34640	1880	0	0
2025.09.02	07:15:00	1.34638	1.34796	1.34433	1.34434	2498	0	0
2025.09.02	07:30:00	1.34432	1.34494	1.34261	1.34403	2304	0	0
2025.09.02	07:45:00	1.34403	1.34420	1.33941	1.34031	2603	0	0
2025.09.02	08:00:00	1.34033	1.34129	1.33752	1.34075	2841	0	0
2025.09.02	08:15:00	1.34073	1.34207	1.33984	1.34027	1811	0	0
2025.09.02	08:30:00	1.34025	1.34341	1.34011	1.34247	1681	0	0
2025.09.02	08:45:00	1.34247	1.34261	1.34064	1.34133	1341	0	0
2025.09.02	09:00:00	1.34138	1.34181	1.33945	1.33994	1340	0	0
2025.09.02	09:15:00	1.33991	1.34003	1.33813	1.33938	1539	0	0
2025.09.02	09:30:00	1.33937	1.34050	1.33890	1.34000	1223	0	0
2025.09.02	09:45:00	1.33997	1.34057	1.33930	1.33994	1109	0	0
2025.09.02	10:00:00	1.33992	1.34014	1.33827	1.33989	1320	0	0
2025.09.02	10:15:00	1.33989	1.34011	1.33823	1.33857	1087	0	0
2025.09.02	10:30:00	1.33857	1.33969	1.33856	1.33909	1103	0	0
2025.09.02	10:45:00	1.33908	1.33939	1.33712	1.33790	1340	0	0
2025.09.02	11:00:00	1.33791	1.33835	1.33692	1.33710	1311	0	0
2025.09.02	11:15:00	1.33710	1.33851	1.33705	1.33797	1146	0	0
2025.09.02	11:30:00	1.33796	1.33841	1.33737	1.33778	1113	0	0
2025.09.02	11:45:00	1.33778	1.33843	1.33724	1.33836	977	0	0
2025.09.02	12:00:00	1.33835	1.33974	1.33735	1.33763	1361	0	0
2025.09.02	12:15:00	1.33765	1.33773	1.33515	1.33524	1678	0	0
2025.09.02	12:30:00	1.33521	1.33576	1.33412	1.33438	1560	0	0
2025.09.02	12:45:00	1.33441	1.33583	1.33389	1.33517	1660	0	0
2025.09.02	13:00:00	1.33520	1.33681	1.33425	1.33672	1625	0	0
2025.09.02	13:15:00	1.33670	1.33724	1.33638	1.33701	1055	0	0
2025.09.02	13:30:00	1.33699	1.33894	1.33654	1.33880	1400	0	0
2025.09.02	13:45:00	1.33882	1.33959	1.33852	1.33915	1385	0	0
2025.09.02	14:00:00	1.33908	1.34185	1.33907	1.34166	2071	0	0
2025.09.02	14:15:00	1.34165	1.34169	1.34030	1.34086	1573	0	0
2025.09.02	14:30:00	1.34088	1.34136	1.33980	1.34069	1411	0	0
2025.09.02	14:45:00	1.34068	1.34117	1.33935	1.33975	1468	0	0
2025.09.02	15:00:00	1.33972	1.34004	1.33817	1.33847	1136	0	0
2025.09.02	15:15:00	1.33846	1.33902	1.33785	1.33877	1103	0	0
2025.09.02	15:30:00	1.33880	1.33909	1.33741	1.33829	1187	0	0
2025.09.02	15:45:00	1.33828	1.33917	1.33825	1.33899	965	0	0
2025.09.02	16:00:00	1.33899	1.33928	1.33839	1.33914	906	0	0
2025.09.02	16:15:00	1.33910	1.33927	1.33830	1.33865	822	0	0
2025.09.02	16:30:00	1.33865	1.33891	1.33830	1.33867	614	0	0
2025.09.02	16:45:00	1.33867	1.33929	1.33864	1.33926	631	0	0
2025.09.02	17:00:00	1.33927	1.33941	1.33843	1.33866	587	0	0
2025.09.02	17:15:00	1.33865	1.33909	1.33849	1.33896	457	0	0
2025.09.02	17:30:00	1.33898	1.33933	1.33871	1.33905	477	0	0
2025.09.02	17:45:00	1.33905	1.33917	1.33839	1.33843	573	0	0
2025.09.02	18:00:00	1.33842	1.33871	1.33803	1.33838	654	0	0
2025.09.02	18:15:00	1.33841	1.33847	1.33748	1.33774	646	0	0
2025.09.02	18:30:00	1.33774	1.33788	1.33757	1.33765	373	0	0
2025.09.02	18:45:00	1.33765	1.33796	1.33748	1.33796	407	0	0
2025.09.02	19:00:00	1.33798	1.33837	1.33793	1.33826	498	0	0
2025.09.02	19:15:00	1.33826	1.33893	1.33812	1.33874	437	0	0
2025.09.02	19:30:00	1.33874	1.33894	1.33868	1.33885	326	0	0
2025.09.02	19:45:00	1.33884	1.33915	1.33878	1.33905	345	0	0
2025.09.02	20:00:00	1.33906	1.33959	1.33901	1.33932	323	0	0
2025.09.02	20:15:00	1.33932	1.33947	1.33901	1.33920	270	0	0
2025.09.02	20:30:00	1.33920	1.33938	1.33903	1.33935	189	0	0
2025.09.02	20:45:00	1.33936	1.33977	1.33926	1.33938	957	0	0
2025.09.02	21:00:00	1.33937	1.33937	1.33885	1.33900	135	0	25
2025.09.02	21:15:00	1.33903	1.33904	1.33860	1.33898	260	0	79
2025.09.02	21:30:00	1.33899	1.33905	1.33874	1.33896	306	0	59
2025.09.02	21:45:00	1.33898	1.33920	1.33873	1.33873	337	0	2
2025.09.02	22:00:00	1.33937	1.33961	1.33930	1.33943	174	0	0
2025.09.02	22:15:00	1.33943	1.33953	1.33933	1.33944	148	0	0
2025.09.02	22:30:00	1.33944	1.33947	1.33932	1.33934	100	0	0
2025.09.02	22:45:00	1.33934	1.33935	1.33864	1.33870	190	0	0
2025.09.02	23:00:00	1.33873	1.33881	1.33844	1.33860	268	0	0
2025.09.02	23:15:00	1.33860	1.33876	1.33848	1.33866	154	0	0
2025.09.02	23:30:00	1.33865	1.33866	1.33843	1.33843	162	0	0
2025.09.02	23:45:00	1.33844	1.33856	1.33815	1.33815	234	0	0
2025.09.03	00:00:00	1.33814	1.33834	1.33749	1.33765	419	0	0
2025.09.03	00:15:00	1.33765	1.33782	1.33741	1.33755	411	0	0
2025.09.03	00:30:00	1.33755	1.33788	1.33731	1.33735	369	0	0
2025.09.03	00:45:00	1.33738	1.33760	1.33720	1.33759	494	0	0
2025.09.03	01:00:00	1.33759	1.33780	1.33709	1.33734	540	0	0
2025.09.03	01:15:00	1.33734	1.33738	1.33688	1.33707	431	0	0
2025.09.03	01:30:00	1.33709	1.33740	1.33695	1.33714	588	0	0
2025.09.03	01:45:00	1.33714	1.33727	1.33673	1.33693	550	0	0
2025.09.03	02:00:00	1.33693	1.33742	1.33683	1.33706	407	0	0
2025.09.03	02:15:00	1.33706	1.33755	1.33704	1.33713	385	0	0
2025.09.03	02:30:00	1.33713	1.33714	1.33633	1.33666	456	0	0
2025.09.03	02:45:00	1.33668	1.33688	1.33654	1.33657	330	0	0
2025.09.03	03:00:00	1.33658	1.33707	1.33655	1.33682	390	0	0
2025.09.03	03:15:00	1.33679	1.33687	1.33641	1.33643	353	0	0
2025.09.03	03:30:00	1.33643	1.33659	1.33634	1.33642	338	0	0
2025.09.03	03:45:00	1.33643	1.33659	1.33617	1.33617	292	0	0
2025.09.03	04:00:00	1.33615	1.33674	1.33604	1.33668	349	0	0
2025.09.03	04:15:00	1.33668	1.33691	1.33655	1.33657	361	0	0
2025.09.03	04:30:00	1.33657	1.33698	1.33657	1.33694	319	0	0
2025.09.03	04:45:00	1.33694	1.33709	1.33676	1.33695	243	0	0
2025.09.03	05:00:00	1.33692	1.33710	1.33674	1.33690	312	0	0
2025.09.03	05:15:00	1.33690	1.33740	1.33680	1.33712	351	0	0
2025.09.03	05:30:00	1.33712	1.33716	1.33616	1.33635	484	0	0
2025.09.03	05:45:00	1.33633	1.33640	1.33591	1.33624	466	0	0
2025.09.03	06:00:00	1.33621	1.33705	1.33617	1.33697	570	0	0
2025.09.03	06:15:00	1.33696	1.33789	1.33677	1.33789	629	0	0
2025.09.03	06:30:00	1.33789	1.33909	1.33788	1.33875	850	0	0
2025.09.03	06:45:00	1.33874	1.33874	1.33738	1.33771	651	0	0
2025.09.03	07:00:00	1.33767	1.33807	1.33622	1.33640	1033	0	0
2025.09.03	07:15:00	1.33640	1.33660	1.33332	1.33497	1764	0	0
2025.09.03	07:30:00	1.33498	1.33607	1.33453	1.33508	1314	0	0
2025.09.03	07:45:00	1.33508	1.33673	1.33500	1.33662	1207	0	0
2025.09.03	08:00:00	1.33664	1.33831	1.33664	1.33816	1262	0	0
2025.09.03	08:15:00	1.33815	1.33930	1.33804	1.33893	994	0	0
2025.09.03	08:30:00	1.33896	1.33930	1.33787	1.33855	1090	0	0
2025.09.03	08:45:00	1.33855	1.34093	1.33852	1.34070	1190	0	0
2025.09.03	09:00:00	1.34067	1.34175	1.34045	1.34051	1111	0	0
2025.09.03	09:15:00	1.34051	1.34113	1.34018	1.34051	955	0	0
2025.09.03	09:30:00	1.34049	1.34140	1.34025	1.34129	979	0	0
2025.09.03	09:45:00	1.34128	1.34157	1.34051	1.34078	908	0	0
2025.09.03	10:00:00	1.34075	1.34098	1.34037	1.34078	768	0	0
