<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.01	00:00:00	1.38574	1.38627	1.38559	1.38562	403	0	15
2025.08.01	00:15:00	1.38563	1.38575	1.38526	1.38528	296	0	15
2025.08.01	00:30:00	1.38530	1.38536	1.38449	1.38456	270	0	15
2025.08.01	00:45:00	1.38456	1.38467	1.38440	1.38465	240	0	15
2025.08.01	01:00:00	1.38466	1.38501	1.38438	1.38448	334	0	15
2025.08.01	01:15:00	1.38450	1.38512	1.38435	1.38489	250	0	15
2025.08.01	01:30:00	1.38489	1.38560	1.38484	1.38544	337	0	15
2025.08.01	01:45:00	1.38546	1.38598	1.38545	1.38574	352	0	15
2025.08.01	02:00:00	1.38575	1.38575	1.38529	1.38534	284	0	15
2025.08.01	02:15:00	1.38533	1.38572	1.38532	1.38551	212	0	15
2025.08.01	02:30:00	1.38551	1.38607	1.38550	1.38601	209	0	15
2025.08.01	02:45:00	1.38601	1.38613	1.38581	1.38581	215	0	15
2025.08.01	03:00:00	1.38581	1.38583	1.38504	1.38505	270	0	15
2025.08.01	03:15:00	1.38505	1.38552	1.38505	1.38536	221	0	15
2025.08.01	03:30:00	1.38535	1.38554	1.38518	1.38518	200	0	15
2025.08.01	03:45:00	1.38519	1.38534	1.38502	1.38531	194	0	15
2025.08.01	04:00:00	1.38531	1.38533	1.38505	1.38513	180	0	15
2025.08.01	04:15:00	1.38513	1.38527	1.38507	1.38522	210	0	15
2025.08.01	04:30:00	1.38523	1.38532	1.38505	1.38523	153	0	15
2025.08.01	04:45:00	1.38523	1.38544	1.38522	1.38534	168	0	15
2025.08.01	05:00:00	1.38534	1.38553	1.38523	1.38535	223	0	15
2025.08.01	05:15:00	1.38535	1.38553	1.38525	1.38543	173	0	15
2025.08.01	05:30:00	1.38543	1.38563	1.38534	1.38543	178	0	15
2025.08.01	05:45:00	1.38543	1.38553	1.38518	1.38523	239	0	15
2025.08.01	06:00:00	1.38525	1.38553	1.38503	1.38522	353	0	15
2025.08.01	06:15:00	1.38522	1.38617	1.38520	1.38617	259	0	15
2025.08.01	06:30:00	1.38617	1.38641	1.38578	1.38607	284	0	15
2025.08.01	06:45:00	1.38607	1.38635	1.38597	1.38607	278	0	15
2025.08.01	07:00:00	1.38605	1.38618	1.38558	1.38618	384	0	15
2025.08.01	07:15:00	1.38618	1.38705	1.38606	1.38687	384	0	15
2025.08.01	07:30:00	1.38687	1.38712	1.38647	1.38682	286	0	15
2025.08.01	07:45:00	1.38684	1.38733	1.38679	1.38708	268	0	15
2025.08.01	08:00:00	1.38706	1.38726	1.38680	1.38710	263	0	15
2025.08.01	08:15:00	1.38710	1.38729	1.38692	1.38713	178	0	15
2025.08.01	08:30:00	1.38713	1.38742	1.38698	1.38739	191	0	15
2025.08.01	08:45:00	1.38740	1.38752	1.38710	1.38751	165	0	15
2025.08.01	09:00:00	1.38750	1.38752	1.38704	1.38715	152	0	15
2025.08.01	09:15:00	1.38714	1.38752	1.38714	1.38742	157	0	15
2025.08.01	09:30:00	1.38743	1.38754	1.38731	1.38747	216	0	15
2025.08.01	09:45:00	1.38747	1.38782	1.38747	1.38773	210	0	15
2025.08.01	10:00:00	1.38772	1.38784	1.38752	1.38752	191	0	15
2025.08.01	10:15:00	1.38750	1.38785	1.38743	1.38770	161	0	15
