date,balance,level,cycle
2026-02-02,4950.0,5000,0
2026-02-04,5098.5,5000,0
2026-02-05,5047.52,5000,0
2026-02-09,5198.94,5000,0
2026-02-11,5354.91,5000,0
2026-02-12,5301.36,5000,0
2026-02-16,5460.4,5000,0
2026-02-18,5624.21,5000,0
2026-02-19,5736.7,5000,0
2026-02-23,5150.0,5000,1
2026-02-25,5304.5,5000,1
2026-02-26,5251.45,5000,1
2026-03-02,5198.94,5000,1
2026-03-04,5146.95,5000,1
2026-03-05,5095.48,5000,1
2026-03-09,5044.53,5000,1
2026-03-11,5195.86,5000,1
2026-03-12,5299.78,5000,1
2026-03-16,5246.78,5000,1
2026-03-18,5194.31,5000,1
2026-03-19,5142.37,5000,1
2026-03-23,5296.64,5000,1
2026-03-25,5455.54,5000,1
2026-03-26,5400.99,5000,1
2026-03-30,5346.98,5000,1
2026-04-01,5293.51,5000,1
2026-04-02,5399.38,5000,1
2026-04-06,5561.36,5000,1
2026-04-08,5728.2,5000,1
2026-04-09,4950.0,5000,2
2026-04-13,5098.5,5000,2
2026-04-15,5047.52,5000,2
2026-04-16,5148.47,5000,2
2026-04-20,5096.98,5000,2
2026-04-22,5046.01,5000,2
2026-04-23,5146.93,5000,2
2026-04-27,5301.34,5000,2
2026-04-29,5248.33,5000,2
2026-04-30,5195.84,5000,2
2026-05-04,5143.88,5000,2
2026-05-06,5298.2,5000,2
2026-05-07,5245.22,5000,2
2026-05-11,5402.57,5000,2
2026-05-13,5564.65,5000,2
2026-05-14,5675.95,5000,2
2026-05-18,7425.0,7500,3
2026-05-20,7350.75,7500,3
2026-05-21,7497.77,7500,3
2026-05-25,7722.7,7500,3
2026-05-27,7645.47,7500,3
2026-05-28,7798.38,7500,3
2026-06-01,7720.4,7500,3
2026-06-03,7643.19,7500,3
2026-06-04,7796.06,7500,3
2026-06-08,7718.1,7500,3
2026-06-10,7949.64,7500,3
2026-06-11,8108.63,7500,3
2026-06-15,8027.55,7500,3
2026-06-17,7947.27,7500,3
2026-06-18,7867.8,7500,3
2026-06-22,8103.83,7500,3
2026-06-24,8022.79,7500,3
2026-06-25,8183.25,7500,3
2026-06-29,8101.42,7500,3
2026-07-01,8020.4,7500,3
2026-07-02,7940.2,7500,3
2026-07-06,8178.4,7500,3
2026-07-08,8096.62,7500,3
2026-07-09,8258.55,7500,3
