date,balance,level
2026-06-18,4925.0,5000
2026-06-24,4917.596566523605,5000
2026-06-25,5067.596566523605,5000
2026-07-01,5039.984626225098,5000
2026-07-02,4964.984626225098,5000
2026-07-08,4889.984626225098,5000
2026-07-09,4917.0464818952005,5000
2026-07-15,5142.0464818952005,5000
2026-07-16,5067.0464818952005,5000
2026-07-22,5032.7945133912635,5000
2026-07-23,5059.313850407838,5000
2026-07-29,4984.313850407838,5000
2026-07-30,5134.313850407838,5000
2026-08-05,5128.805375831566,5000
2026-08-06,5278.805375831566,5000
2026-08-12,5304.026614769619,5000
2026-08-13,5229.026614769619,5000
2026-08-19,5251.340664356396,5000
2026-08-20,5246.653164356396,5000
2026-08-26,5250.566207834657,5000
2026-08-27,5175.566207834657,5000
2026-09-02,5233.155493548942,5000
2026-09-03,5383.155493548942,5000
