date,balance,level
2025-11-06,5150.0,5000
2025-11-12,5223.148148148148,5000
2025-11-13,5148.148148148148,5000
2025-11-19,5178.188470728793,5000
2025-11-20,5103.188470728793,5000
2025-11-26,5147.954095728793,5000
2025-11-27,5297.954095728793,5000
2025-12-03,5391.983946475061,5000
2025-12-04,5316.983946475061,5000
2025-12-10,5241.983946475061,5000
2025-12-11,5166.983946475061,5000
2025-12-17,5153.766733360307,5000
2025-12-18,5078.766733360307,5000
2025-12-24,5077.766733360307,5000
2025-12-31,5116.58831926339,5000
2026-01-07,5191.923140691962,5000
2026-01-08,5341.923140691962,5000
2026-01-14,5000.0,5000
2026-01-15,5150.0,5000
2026-01-21,5196.067415730337,5000
2026-01-22,5346.067415730337,5000
2026-01-28,5373.328285295554,5000
2026-01-29,5298.328285295554,5000
2026-02-04,5000.0,5000
2026-02-05,4925.0,5000
2026-02-11,5010.069444444444,5000
2026-02-12,4935.069444444444,5000
2026-02-18,5078.757563256326,5000
2026-02-19,5228.757563256326,5000
2026-02-25,7500.0,7500
2026-02-26,7387.5,7500
2026-03-04,7275.0,7500
2026-03-05,7162.5,7500
2026-03-11,7345.154494382023,7500
2026-03-12,7570.154494382023,7500
2026-03-18,7457.654494382023,7500
2026-03-19,7345.154494382023,7500
2026-03-25,7364.776587405278,7500
2026-03-26,7252.276587405278,7500
2026-04-01,7139.776587405278,7500
2026-04-02,7364.776587405278,7500
2026-04-08,7525.557837405278,7500
2026-04-09,7413.057837405278,7500
2026-04-15,7300.557837405278,7500
2026-04-16,7306.182837405278,7500
2026-04-22,7246.788427467391,7500
2026-04-23,7471.788427467391,7500
2026-04-29,7466.462983680409,7500
2026-04-30,7353.962983680409,7500
2026-05-06,7354.708016792992,7500
2026-05-07,7242.208016792992,7500
2026-05-13,7247.868394151482,7500
2026-05-14,7472.868394151482,7500
2026-05-20,7421.201727484815,7500
2026-05-21,7646.201727484815,7500
2026-05-27,7533.701727484815,7500
2026-05-28,7500.0,7500
2026-06-03,7387.5,7500
2026-06-04,7612.5,7500
2026-06-10,7807.366071428572,7500
2026-06-11,8032.366071428572,7500
2026-06-17,7919.866071428572,7500
2026-06-18,7500.0,7500
2026-06-24,7488.894849785408,7500
2026-06-25,7713.894849785408,7500
2026-07-01,7672.476939337646,7500
2026-07-02,7559.976939337646,7500
2026-07-08,7447.476939337646,7500
2026-07-09,7488.069722842801,7500
2026-07-15,10000.0,10000
2026-07-16,9850.0,10000
2026-07-22,9781.496062992126,10000
2026-07-23,9834.534737025275,10000
2026-07-29,9684.534737025275,10000
2026-07-30,9984.534737025275,10000
2026-08-05,9973.517787872732,10000
2026-08-06,10000.0,10000
2026-08-12,10050.442477876106,10000
2026-08-13,9900.442477876106,10000
2026-08-19,9945.070577049659,10000
2026-08-20,9935.695577049659,10000
2026-08-26,9943.52166400618,10000
2026-08-27,9793.52166400618,10000
2026-09-02,9908.700235434751,10000
2026-09-03,10000.0,10000
