date,balance,level,accounts
2026-02-01,5000.0,5000.0,1
2026-02-04,5085.62,5000.0,1
2026-02-05,5010.62,5000.0,1
2026-02-11,5095.69,5000.0,1
2026-02-12,5020.69,5000.0,1
2026-02-18,5164.38,5000.0,1
2026-02-19,5314.38,5000.0,1
2026-02-25,5412.05,5000.0,1
2026-02-26,5337.05,5000.0,1
2026-03-04,5262.05,5000.0,1
2026-03-05,5187.05,5000.0,1
2026-03-11,5308.82,5000.0,1
2026-03-12,5458.82,5000.0,1
2026-03-18,5383.82,5000.0,1
2026-03-19,5308.82,5000.0,1
2026-03-25,5321.9,5000.0,1
2026-03-26,5246.9,5000.0,1
2026-04-01,5171.9,5000.0,1
2026-04-02,5321.9,5000.0,1
2026-04-08,5429.09,5000.0,1
2026-04-09,5354.09,5000.0,1
2026-04-15,5279.09,5000.0,1
2026-04-16,5282.84,5000.0,1
2026-04-22,5243.24,5000.0,1
2026-04-23,5393.24,5000.0,1
2026-04-29,5389.69,5000.0,1
2026-04-30,5314.69,5000.0,1
2026-05-06,5315.19,5000.0,1
2026-05-07,5240.19,5000.0,1
2026-05-13,5243.96,5000.0,1
2026-05-14,5393.96,5000.0,1
2026-05-20,5359.52,5000.0,1
2026-05-21,5509.52,5000.0,1
2026-05-27,5434.52,5000.0,1
2026-05-28,5584.52,5000.0,1
2026-06-03,5509.52,5000.0,1
2026-06-04,5659.52,5000.0,1
2026-06-10,5129.91,5000.0,1
2026-06-11,5279.91,5000.0,1
2026-06-17,5204.91,5000.0,1
2026-06-18,5129.91,5000.0,1
2026-06-24,5122.51,5000.0,1
2026-06-25,5272.51,5000.0,1
2026-07-01,5244.9,5000.0,1
2026-07-02,5169.9,5000.0,1
2026-07-08,5094.9,5000.0,1
2026-07-09,5121.96,5000.0,1
2026-07-15,5346.96,5000.0,1
2026-07-16,5271.96,5000.0,1
2026-07-22,5237.71,5000.0,1
2026-07-23,5264.22,5000.0,1
2026-07-29,5189.22,5000.0,1
2026-07-30,5339.22,5000.0,1
2026-08-05,5333.72,5000.0,1
2026-08-06,5483.72,5000.0,1
2026-08-12,5508.94,5000.0,1
2026-08-13,5433.94,5000.0,1
2026-08-19,5456.25,5000.0,1
2026-08-20,5451.56,5000.0,1
2026-08-26,5455.48,5000.0,1
2026-08-27,5380.48,5000.0,1
2026-09-02,5438.07,5000.0,1
2026-09-03,5588.07,5000.0,1
2026-09-09,5588.07,5000.0,1
