date,balance,level,accounts
2026-02-01,5000.0,5000.0,1
2026-02-04,5085.62,5000.0,1
2026-02-05,5010.62,5000.0,1
2026-02-11,5095.69,5000.0,1
2026-02-12,5020.69,5000.0,1
2026-02-18,5164.38,5000.0,1
2026-02-19,5314.38,5000.0,1
2026-02-25,5000.0,5000.0,1
2026-02-26,4925.0,5000.0,1
2026-03-04,4850.0,5000.0,1
2026-03-05,4775.0,5000.0,1
2026-03-11,4896.77,5000.0,1
2026-03-12,5046.77,5000.0,1
2026-03-18,4971.77,5000.0,1
2026-03-19,4896.77,5000.0,1
2026-03-25,4909.85,5000.0,1
2026-03-26,4834.85,5000.0,1
2026-04-01,4759.85,5000.0,1
2026-04-02,4909.85,5000.0,1
2026-04-08,5017.04,5000.0,1
2026-04-09,4942.04,5000.0,1
2026-04-15,4867.04,5000.0,1
2026-04-16,4870.79,5000.0,1
2026-04-22,4831.19,5000.0,1
2026-04-23,4981.19,5000.0,1
2026-04-29,4977.64,5000.0,1
2026-04-30,4902.64,5000.0,1
2026-05-06,4903.14,5000.0,1
2026-05-07,4828.14,5000.0,1
2026-05-13,4831.91,5000.0,1
2026-05-14,4981.91,5000.0,1
2026-05-20,4947.47,5000.0,1
2026-05-21,5097.47,5000.0,1
2026-05-27,5022.47,5000.0,1
2026-05-28,5000.0,5000.0,1
2026-06-03,4925.0,5000.0,1
2026-06-04,5075.0,5000.0,1
2026-06-10,5204.91,5000.0,1
2026-06-11,5354.91,5000.0,1
2026-06-17,5279.91,5000.0,1
2026-06-18,12425.0,12500.0,2
2026-06-24,12406.49,12500.0,2
2026-06-25,12781.49,12500.0,2
2026-07-01,12712.46,12500.0,2
2026-07-02,12524.96,12500.0,2
2026-07-08,12337.46,12500.0,2
2026-07-09,12405.12,12500.0,2
2026-07-15,12642.05,12500.0,2
2026-07-16,12454.55,12500.0,2
2026-07-22,12368.92,12500.0,2
2026-07-23,12435.21,12500.0,2
2026-07-29,12247.71,12500.0,2
2026-07-30,12622.71,12500.0,2
2026-08-05,12608.94,12500.0,2
2026-08-06,12778.81,12500.0,2
2026-08-12,12841.86,12500.0,2
2026-08-13,12654.36,12500.0,2
2026-08-19,12710.14,12500.0,2
2026-08-20,12698.42,12500.0,2
2026-08-26,12708.21,12500.0,2
2026-08-27,12520.71,12500.0,2
2026-09-02,12664.68,12500.0,2
2026-09-03,13039.68,12500.0,2
2026-09-09,13039.68,12500.0,2
