date,balance,level,accounts
2025-09-01,5000.0,5000.0,1
2025-09-03,4970.56,5000.0,1
2025-09-04,4895.56,5000.0,1
2025-09-10,4982.4,5000.0,1
2025-09-11,4907.4,5000.0,1
2025-09-17,5132.4,5000.0,1
2025-09-18,5282.4,5000.0,1
2025-09-24,5256.18,5000.0,1
2025-09-25,5000.0,5000.0,1
2025-10-01,4994.33,5000.0,1
2025-10-02,4919.33,5000.0,1
2025-10-08,4959.3,5000.0,1
2025-10-09,5109.3,5000.0,1
2025-10-15,5125.43,5000.0,1
2025-10-16,5000.0,5000.0,1
2025-10-22,4925.0,5000.0,1
2025-10-23,5075.0,5000.0,1
2025-10-29,5000.0,5000.0,1
2025-10-30,5150.0,5000.0,1
2025-11-05,5165.62,5000.0,1
2025-11-06,12650.0,12500.0,2
2025-11-12,12832.87,12500.0,2
2025-11-13,12645.37,12500.0,2
2025-11-19,12720.47,12500.0,2
2025-11-20,12532.97,12500.0,2
2025-11-26,12644.89,12500.0,2
2025-11-27,12797.95,12500.0,2
2025-12-03,13033.03,12500.0,2
2025-12-04,12845.53,12500.0,2
2025-12-10,12658.03,12500.0,2
2025-12-11,12470.53,12500.0,2
2025-12-17,12437.49,12500.0,2
2025-12-18,12249.99,12500.0,2
2025-12-24,12247.49,12500.0,2
2025-12-31,12344.54,12500.0,2
2026-01-07,12532.88,12500.0,2
2026-01-08,12907.88,12500.0,2
2026-01-14,12659.12,12500.0,2
2026-01-15,12650.0,12500.0,2
2026-01-21,12765.17,12500.0,2
2026-01-22,13140.17,12500.0,2
2026-01-28,13208.32,12500.0,2
2026-01-29,13020.82,12500.0,2
2026-02-04,12850.93,12500.0,2
2026-02-05,14925.0,15000.0,2
2026-02-11,15180.21,15000.0,2
2026-02-12,14955.21,15000.0,2
2026-02-18,15386.27,15000.0,2
2026-02-19,15836.27,15000.0,2
2026-02-25,23400.51,22500.0,3
2026-02-26,22410.16,22500.0,3
2026-03-04,22072.66,22500.0,3
2026-03-05,21735.16,22500.0,3
2026-03-11,22283.13,22500.0,3
2026-03-12,22958.13,22500.0,3
2026-03-18,22620.63,22500.0,3
2026-03-19,22283.13,22500.0,3
2026-03-25,22341.99,22500.0,3
2026-03-26,22004.49,22500.0,3
2026-04-01,21666.99,22500.0,3
2026-04-02,22341.99,22500.0,3
2026-04-08,22640.26,22500.0,3
2026-04-09,22302.76,22500.0,3
2026-04-15,21965.26,22500.0,3
2026-04-16,21982.14,22500.0,3
2026-04-22,21803.95,22500.0,3
2026-04-23,22478.95,22500.0,3
2026-04-29,22462.98,22500.0,3
2026-04-30,22125.48,22500.0,3
2026-05-06,22127.71,22500.0,3
2026-05-07,21790.21,22500.0,3
2026-05-13,21807.19,22500.0,3
2026-05-14,22482.19,22500.0,3
2026-05-20,22327.19,22500.0,3
2026-05-21,23002.19,22500.0,3
2026-05-27,22664.69,22500.0,3
2026-05-28,37770.13,37500.0,3
2026-06-03,37207.63,37500.0,3
2026-06-04,38332.63,37500.0,3
2026-06-10,38831.92,37500.0,3
2026-06-11,39956.92,37500.0,3
2026-06-17,39394.42,37500.0,3
2026-06-18,37500.0,37500.0,3
2026-06-24,37444.47,37500.0,3
2026-06-25,38569.47,37500.0,3
2026-07-01,38362.38,37500.0,3
2026-07-02,37799.88,37500.0,3
2026-07-08,37237.38,37500.0,3
2026-07-09,37440.35,37500.0,3
2026-07-15,40000.0,40000.0,3
2026-07-16,39400.0,40000.0,3
2026-07-22,39125.98,40000.0,3
2026-07-23,39338.14,40000.0,3
2026-07-29,38738.14,40000.0,3
2026-07-30,39938.14,40000.0,3
2026-08-05,39894.07,40000.0,3
2026-08-06,75136.76,75000.0,3
2026-08-12,75515.08,75000.0,3
2026-08-13,74390.08,75000.0,3
2026-08-19,74724.79,75000.0,3
2026-08-20,74654.48,75000.0,3
2026-08-26,74713.17,75000.0,3
2026-08-27,73588.17,75000.0,3
2026-09-02,74452.01,75000.0,3
2026-09-03,82650.0,82500.0,4
2026-09-09,82650.0,82500.0,4
