date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason,R
2025-09-04,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16462,1.16423,3.9,2025-09-04 11:50:00,1.16422,1.16482,1.16302,6.0,LOSS,-6.0,2025-09-04 12:05:00,1.16482,SL Hit,-1.0
2025-09-11,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16865,1.16781,8.4,2025-09-11 11:50:00,1.16889,1.16761,1.17145,12.8,LOSS,-12.8,2025-09-11 12:15:00,1.16761,SL Hit,-1.0
2025-09-18,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.18333,1.18226,10.7,2025-09-18 11:45:00,1.1821,1.18353,1.17924,14.3,WIN,28.6,2025-09-18 13:00:00,1.1792399999999998,TP Hit,2.0
2025-09-25,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.17439,1.17348,9.1,2025-09-25 12:10:00,1.1734,1.17459,1.17102,11.9,WIN,23.8,2025-09-25 12:30:00,1.17102,TP Hit,2.0
2025-10-02,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.17567,1.17491,7.6,2025-10-02 12:00:00,1.17579,1.17471,1.17795,10.8,LOSS,-10.8,2025-10-02 12:25:00,1.17471,SL Hit,-1.0
2025-10-09,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16214,1.16144,7.0,2025-10-09 11:55:00,1.16122,1.16234,1.15898,11.2,WIN,22.4,2025-10-09 14:20:00,1.15898,TP Hit,2.0
2025-10-16,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16542,1.16465,7.7,2025-10-16 11:50:00,1.1655,1.16445,1.1676,10.5,WIN,21.0,2025-10-16 14:50:00,1.1676,TP Hit,2.0
2025-10-23,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.15929,1.15859,7.0,2025-10-23 12:05:00,1.15935,1.15839,1.16127,9.6,WIN,19.2,2025-10-23 14:05:00,1.1612700000000002,TP Hit,2.0
2025-10-30,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.1611,1.16019,9.1,2025-10-30 11:45:00,1.1601,1.1613,1.1577,12.0,WIN,24.0,2025-10-30 12:25:00,1.1576999999999997,TP Hit,2.0
2025-11-06,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.1521,1.15134,7.6,2025-11-06 12:10:00,1.15224,1.15114,1.15444,11.0,WIN,22.0,2025-11-06 18:05:00,1.1544399999999997,TP Hit,2.0
