date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason,R
2025-09-03,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.34457,1.34299,15.8,2025-09-03 15:15:00,1.34493,1.34279,1.35135,21.4,LOSS,-8.4,2025-09-03 23:45:00,1.34409,EOD Close,-0.39252336448598135
2025-09-10,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.35554,1.35493,6.1,2025-09-10 15:15:00,1.3546,1.35574,1.35118,11.4,WIN,13.2,2025-09-10 23:45:00,1.35328,EOD Close,1.157894736842105
2025-09-17,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.36664,1.36552,11.2,2025-09-17 16:15:00,1.3669,1.36532,1.37164,15.8,WIN,47.4,2025-09-17 18:00:00,1.3716399999999997,TP Hit,2.9999999999999996
2025-09-24,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.34567,1.3445,11.7,2025-09-24 16:15:00,1.34444,1.34587,1.34015,14.3,LOSS,-5.0,2025-09-24 23:45:00,1.34494,EOD Close,-0.34965034965034963
2025-10-01,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.35082,1.3483,25.2,2025-10-01 15:15:00,1.34758,1.35102,1.33726,34.4,LOSS,-2.6,2025-10-01 23:45:00,1.34784,EOD Close,-0.07558139534883722
2025-10-08,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.34234,1.341,13.4,2025-10-08 15:15:00,1.34087,1.34254,1.33586,16.7,WIN,8.9,2025-10-08 23:45:00,1.33998,EOD Close,0.532934131736527
2025-10-15,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33756,1.33618,13.8,2025-10-15 15:15:00,1.33956,1.33598,1.3503,35.8,WIN,7.7,2025-10-15 23:45:00,1.34033,EOD Close,0.2150837988826816
2025-10-22,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33693,1.33541,15.2,2025-10-22 15:30:00,1.33703,1.33521,1.34249,18.2,LOSS,-18.2,2025-10-22 23:45:00,1.33521,SL Hit,-1.0
2025-10-29,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.32339,1.32263,7.6,2025-10-29 15:30:00,1.32389,1.32243,1.32827,14.6,LOSS,-14.6,2025-10-29 17:15:00,1.32243,SL Hit,-1.0
2025-11-05,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.30328,1.30134,19.4,2025-11-05 15:15:00,1.3045,1.30114,1.31458,33.6,WIN,7.0,2025-11-05 23:45:00,1.3052,EOD Close,0.20833333333333331
