date,kind,amt,cash,note
2025-09-03,BUY,-62.82,-62.82,5K acct (#1)
2025-09-25,PAYOUT,365.56,302.74,acct#1 P#1
2025-10-16,PAYOUT,247.89,550.63,acct#1 P#2
2025-11-06,PAYOUT,284.06,834.69,acct#1 P#3
2025-11-06,REFUND,62.82,897.5100000000001,acct#1 fee back
2025-11-27,PAYOUT,199.74,1097.25,acct#1 P#4
2025-11-27,BUY,-113.22,984.03,10K acct
2026-01-15,PAYOUT,345.71,1329.74,acct#1 P#5
2026-01-22,PAYOUT,813.86,2143.6,acct#2 P#1
2026-02-05,PAYOUT,214.59,2358.19,acct#1 P#6
2026-02-05,BUY,-207.22,2150.9700000000003,25K acct
2026-02-18,PAYOUT,209.97,2360.94,acct#2 P#2
2026-02-26,PAYOUT,587.56,2948.5,acct#1 P#7
2026-03-11,PAYOUT,259.98,3208.48,acct#2 P#3
2026-03-11,REFUND,113.22,3321.7,acct#2 fee back
2026-03-12,PAYOUT,2016.87,5338.57,acct#3 P#1
2026-03-12,BUY,-522.22,4816.349999999999,50K acct
2026-04-08,PAYOUT,165.67,4982.0199999999995,acct#1 P#8
2026-04-08,PAYOUT,324.73,5306.75,acct#2 P#4
2026-05-21,PAYOUT,217.14,5523.89,acct#2 P#5
2026-05-21,PAYOUT,228.12,5752.01,acct#3 P#2
2026-05-28,PAYOUT,279.76,6031.77,acct#1 P#9
2026-06-11,PAYOUT,1160.75,7192.52,acct#2 P#6
2026-06-11,PAYOUT,1934.58,9127.1,acct#3 P#3
2026-06-11,REFUND,207.22,9334.32,acct#3 fee back
2026-06-11,BUY,-1007.8199999999999,8326.5,100K acct
2026-06-11,PAYOUT,4325.4,12651.9,acct#4 P#1
2026-06-18,PAYOUT,922.08,13573.98,acct#1 P#10
2026-07-15,PAYOUT,976.69,14550.67,acct#1 P#11
2026-07-15,PAYOUT,241.35,14792.02,acct#2 P#7
2026-07-15,PAYOUT,452.54,15244.560000000001,acct#3 P#4
2026-07-15,PAYOUT,603.38,15847.94,acct#4 P#2
2026-08-06,PAYOUT,615.43,16463.37,acct#1 P#12
2026-08-06,PAYOUT,492.35,16955.719999999998,acct#2 P#8
2026-08-06,PAYOUT,923.15,17878.87,acct#3 P#5
2026-08-06,BUY,-1574.82,16304.05,200K acct
2026-08-06,PAYOUT,1230.86,17534.91,acct#4 P#3
2026-08-06,REFUND,522.22,18057.13,acct#4 fee back
2026-09-03,PAYOUT,1127.03,19184.16,acct#1 P#13
2026-09-03,PAYOUT,375.68,19559.84,acct#2 P#9
2026-09-03,PAYOUT,704.4,20264.24,acct#3 P#6
2026-09-03,PAYOUT,1408.79,21673.030000000002,acct#4 P#4
