date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2026-02-02,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.36929,1.36697,23.2,2026-02-02 18:00:00,1.36996,1.36677,1.37953,31.9,LOSS,-31.9,2026-02-02 21:00:00,1.36677,SL Hit
2026-02-04,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.36955,1.36775,18.0,2026-02-04 15:30:00,1.36735,1.36975,1.36015,24.0,WIN,27.4,2026-02-04 23:45:00,1.36461,EOD Close
2026-02-05,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.36886,1.36836,5.0,2026-02-05 12:30:00,1.36912,1.36816,1.37104,9.6,LOSS,-9.6,2026-02-05 12:45:00,1.36816,SL Hit
2026-02-05,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.17944,1.17902,4.2,2026-02-05 11:45:00,1.17951,1.17882,1.18089,6.9,LOSS,-6.9,2026-02-05 12:00:00,1.17882,SL Hit
2026-02-05,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.36256,1.36209,4.7,2026-02-05 04:15:00,1.36281,1.36189,1.36465,9.2,LOSS,-9.2,2026-02-05 05:15:00,1.36189,SL Hit
2026-02-06,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.36383,1.36303,8.0,2026-02-06 16:15:00,1.36442,1.36283,1.3684,15.9,WIN,28.7,2026-02-06 21:45:00,1.36729,EOD Close
2026-02-09,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.35805,1.35718,8.7,2026-02-09 16:00:00,1.35683,1.35825,1.35257,14.2,WIN,7.0,2026-02-09 23:45:00,1.35613,EOD Close
2026-02-11,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.36672,1.36493,17.9,2026-02-11 15:15:00,1.36476,1.36692,1.35828,21.6,WIN,24.5,2026-02-11 23:45:00,1.36231,EOD Close
2026-02-12,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.35634,1.35595,3.9,2026-02-12 11:30:00,1.35642,1.35575,1.35776,6.7,LOSS,-6.7,2026-02-12 11:45:00,1.35575,SL Hit
2026-02-12,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.18813,1.18767,4.6,2026-02-12 11:50:00,1.18827,1.18747,1.18987,8.0,LOSS,-8.0,2026-02-12 12:40:00,1.18747,SL Hit
2026-02-12,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.36353,1.36265,8.8,2026-02-12 04:15:00,1.36255,1.36373,1.36019,11.8,LOSS,-11.8,2026-02-12 08:00:00,1.3637299999999999,SL Hit
2026-02-13,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,SHORT,1.36364,1.36267,9.7,2026-02-13 16:15:00,1.36195,1.36384,1.35722,18.9,WIN,1.7,2026-02-13 21:45:00,1.36178,EOD Close
2026-02-16,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.36342,1.36269,7.3,2026-02-16 16:45:00,1.36347,1.36249,1.36641,9.8,WIN,1.9,2026-02-16 23:45:00,1.36366,EOD Close
