date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2026-02-05,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.1794,1.17898,4.2,2026-02-05 11:45:00,1.17947,1.17878,1.18085,6.9,LOSS,-6.9,2026-02-05 12:00:00,1.17878,SL Hit
2026-02-12,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.18809,1.18763,4.6,2026-02-12 11:50:00,1.18822,1.18743,1.1898,7.9,LOSS,-7.9,2026-02-12 12:40:00,1.18743,SL Hit
2026-02-19,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.17818,1.17762,5.6,2026-02-19 12:10:00,1.17759,1.17838,1.17601,7.9,WIN,15.8,2026-02-19 13:05:00,1.1760099999999998,TP Hit
2026-02-26,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.18027,1.17999,2.8,2026-02-26 12:10:00,1.18042,1.17979,1.18168,6.3,LOSS,-6.3,2026-02-26 15:20:00,1.1797900000000001,SL Hit
2026-03-05,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16105,1.16034,7.1,2026-03-05 11:55:00,1.16111,1.16014,1.16305,9.7,LOSS,-9.7,2026-03-05 13:40:00,1.16014,SL Hit
2026-03-12,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.15658,1.1558,7.8,2026-03-12 11:50:00,1.15528,1.15678,1.15228,15.0,WIN,30.0,2026-03-12 13:20:00,1.1522800000000004,TP Hit
2026-03-12,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.33728,1.33689,3.9,2026-03-12 04:30:00,1.33638,1.33748,1.33418,11.0,LOSS,-11.0,2026-03-12 05:30:00,1.33748,SL Hit
2026-03-18,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.33371,1.33242,12.9,2026-03-18 15:15:00,1.33225,1.33391,1.32727,16.6,LOSS,-16.6,2026-03-18 17:30:00,1.33391,SL Hit
2026-03-19,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.14729,1.1467,5.9,2026-03-19 11:50:00,1.14747,1.1465,1.14941,9.7,LOSS,-9.7,2026-03-19 12:25:00,1.1465,SL Hit
2026-03-19,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.32875,1.32811,6.4,2026-03-19 04:00:00,1.3277,1.32895,1.3252,12.5,WIN,25.0,2026-03-19 07:00:00,1.3252000000000002,TP Hit
2026-03-25,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.33912,1.33762,15.0,2026-03-25 15:30:00,1.33674,1.33932,1.329,25.8,WIN,4.5,2026-03-25 23:45:00,1.33629,EOD Close
2026-03-26,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.15444,1.15318,12.6,2026-03-26 11:45:00,1.15281,1.15464,1.14915,18.3,LOSS,-18.3,2026-03-26 13:40:00,1.1546399999999999,SL Hit
2026-03-26,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.33651,1.33618,3.3,2026-03-26 04:15:00,1.33664,1.33598,1.33796,6.6,LOSS,-6.6,2026-03-26 05:15:00,1.33598,SL Hit
2026-04-01,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.33375,1.33247,12.8,2026-04-01 15:15:00,1.33192,1.33395,1.32583,20.3,LOSS,-20.3,2026-04-01 17:00:00,1.33395,SL Hit
2026-04-02,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.1519,1.151,9.0,2026-04-02 12:00:00,1.15247,1.1508,1.15581,16.7,WIN,33.4,2026-04-02 14:35:00,1.1558100000000002,TP Hit
