date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2025-08-06,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33442,1.33273,16.9,2025-08-06 15:30:00,1.3348,1.33253,1.34161,22.7,WIN,8.9,2025-08-06 23:45:00,1.33569,EOD Close
2025-08-07,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16548,1.16338,21.0,2025-08-07 12:20:00,1.1655,1.16318,1.17014,23.2,LOSS,-23.2,2025-08-07 14:05:00,1.16318,SL Hit
2025-08-07,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.33608,1.33529,7.9,2025-08-07 04:00:00,1.33629,1.33509,1.33869,12.0,WIN,24.0,2025-08-07 11:00:00,1.3386899999999997,TP Hit
2025-08-13,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.35724,1.35616,10.8,2025-08-13 16:00:00,1.35759,1.35596,1.36248,16.3,WIN,8.7,2025-08-13 23:45:00,1.35846,EOD Close
2025-08-14,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16894,1.16833,6.1,2025-08-14 11:50:00,1.16912,1.16813,1.1711,9.9,LOSS,-9.9,2025-08-14 12:25:00,1.1681300000000001,SL Hit
2025-08-14,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.35737,1.35702,3.5,2025-08-14 04:00:00,1.35743,1.35682,1.35865,6.1,WIN,12.2,2025-08-14 06:30:00,1.35865,TP Hit
2025-08-20,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.3473,1.3464,9.0,2025-08-20 15:30:00,1.34594,1.3475,1.34126,15.6,LOSS,-5.8,2025-08-20 23:45:00,1.34652,EOD Close
2025-08-21,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16501,1.16442,5.9,2025-08-21 11:45:00,1.16435,1.16521,1.16263,8.6,LOSS,-8.6,2025-08-21 12:30:00,1.16521,SL Hit
2025-08-21,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.34532,1.34486,4.6,2025-08-21 04:00:00,1.34533,1.34466,1.34667,6.7,LOSS,-6.7,2025-08-21 06:15:00,1.34466,SL Hit
2025-08-27,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.34729,1.34597,13.2,2025-08-27 16:00:00,1.34768,1.34577,1.35341,19.1,WIN,26.4,2025-08-27 23:45:00,1.35032,EOD Close
2025-08-28,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.167,1.16618,8.2,2025-08-28 12:00:00,1.16704,1.16598,1.16916,10.6,LOSS,-10.6,2025-08-28 13:05:00,1.16598,SL Hit
2025-08-28,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.35102,1.35072,3.0,2025-08-28 04:00:00,1.35068,1.35122,1.3496,5.4,LOSS,-5.4,2025-08-28 06:00:00,1.35122,SL Hit
2025-09-03,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.34451,1.34294,15.7,2025-09-03 15:15:00,1.34488,1.34274,1.3513,21.4,LOSS,-8.5,2025-09-03 23:45:00,1.34403,EOD Close
2025-09-04,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16457,1.16418,3.9,2025-09-04 11:50:00,1.16417,1.16477,1.16297,6.0,LOSS,-6.0,2025-09-04 12:05:00,1.16477,SL Hit
2025-09-04,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.34295,1.34254,4.1,2025-09-04 06:00:00,1.34318,1.34234,1.34486,8.4,LOSS,-8.4,2025-09-04 07:15:00,1.34234,SL Hit
2025-09-10,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.35548,1.35488,6.0,2025-09-10 15:15:00,1.35454,1.35568,1.35112,11.4,WIN,13.1,2025-09-10 23:45:00,1.35323,EOD Close
2025-09-11,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.1686,1.16776,8.4,2025-09-11 11:50:00,1.16885,1.16756,1.17143,12.9,LOSS,-12.9,2025-09-11 12:15:00,1.16756,SL Hit
2025-09-11,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.35274,1.35252,2.2,2025-09-11 04:30:00,1.35249,1.35294,1.35159,4.5,WIN,9.0,2025-09-11 05:45:00,1.3515899999999998,TP Hit
2025-09-17,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.36659,1.36547,11.2,2025-09-17 16:15:00,1.36685,1.36527,1.37159,15.8,WIN,47.4,2025-09-17 18:00:00,1.3715899999999996,TP Hit
2025-09-18,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.18329,1.18222,10.7,2025-09-18 11:45:00,1.18206,1.18349,1.1792,14.3,WIN,28.6,2025-09-18 13:00:00,1.1792000000000005,TP Hit
2025-09-18,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.36225,1.36196,2.9,2025-09-18 04:15:00,1.36143,1.36245,1.35939,10.2,WIN,20.4,2025-09-18 05:45:00,1.3593899999999999,TP Hit
2025-09-24,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.34562,1.34445,11.7,2025-09-24 16:15:00,1.3444,1.34582,1.34014,14.2,LOSS,-4.9,2025-09-24 23:45:00,1.34489,EOD Close
2025-09-25,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.17435,1.17344,9.1,2025-09-25 12:10:00,1.17336,1.17455,1.17098,11.9,WIN,23.8,2025-09-25 12:30:00,1.17098,TP Hit
2025-09-25,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.34624,1.34587,3.7,2025-09-25 04:15:00,1.34626,1.34567,1.34744,5.9,LOSS,-5.9,2025-09-25 05:15:00,1.34567,SL Hit
2025-10-01,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.35077,1.34825,25.2,2025-10-01 15:15:00,1.34753,1.35097,1.33721,34.4,LOSS,-2.6,2025-10-01 23:45:00,1.34779,EOD Close
2025-10-02,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.17563,1.17487,7.6,2025-10-02 12:00:00,1.17575,1.17467,1.17791,10.8,LOSS,-10.8,2025-10-02 12:25:00,1.17467,SL Hit
2025-10-02,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.34789,1.34761,2.8,2025-10-02 04:00:00,1.34753,1.34809,1.34641,5.6,LOSS,-5.6,2025-10-02 06:00:00,1.34809,SL Hit
2025-10-08,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.34229,1.34095,13.4,2025-10-08 15:15:00,1.34082,1.34249,1.33581,16.7,WIN,8.8,2025-10-08 23:45:00,1.33994,EOD Close
2025-10-09,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.1621,1.1614,7.0,2025-10-09 11:55:00,1.16118,1.1623,1.15894,11.2,WIN,22.4,2025-10-09 14:20:00,1.1589400000000005,TP Hit
2025-10-09,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.34162,1.34132,3.0,2025-10-09 04:15:00,1.34116,1.34182,1.33984,6.6,WIN,13.2,2025-10-09 06:00:00,1.3398399999999997,TP Hit
2025-10-15,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33751,1.33613,13.8,2025-10-15 15:15:00,1.33952,1.33593,1.35029,35.9,WIN,7.7,2025-10-15 23:45:00,1.34029,EOD Close
2025-10-16,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16538,1.16461,7.7,2025-10-16 11:50:00,1.16546,1.16441,1.16756,10.5,WIN,21.0,2025-10-16 14:50:00,1.16756,TP Hit
