date,direction_old,entry_time_old,R_old,result_old,exit_reason_old,direction_new,entry_time_new,R_new,result_new,exit_reason_new
2025-09-08,LONG,2025-09-08 16:15:00,-1.0,LOSS,SL Hit,LONG,2025-09-08 16:15:00,-1.0,LOSS,SL Hit
2025-09-15,SHORT,2025-09-15 17:30:00,0.6530612244897959,WIN,EOD Close,SHORT,2025-09-15 17:30:00,1.297872340425532,WIN,EOD Close
2025-09-22,LONG,2025-09-22 16:15:00,0.17857142857142858,WIN,EOD Close,LONG,2025-09-22 16:20:00,0.2595419847328244,WIN,EOD Close
2025-09-29,LONG,2025-09-29 16:30:00,0.3636363636363637,WIN,EOD Close,LONG,2025-09-29 16:35:00,0.3636363636363637,WIN,EOD Close
2025-10-06,LONG,2025-10-06 16:15:00,-1.0,LOSS,SL Hit,LONG,2025-10-06 16:25:00,-1.0,LOSS,SL Hit
2025-10-13,LONG,2025-10-13 16:15:00,1.0568181818181819,WIN,EOD Close,LONG,2025-10-13 16:15:00,1.0337078651685392,WIN,EOD Close
2025-10-20,LONG,2025-10-20 17:45:00,-0.28260869565217395,LOSS,EOD Close,SHORT,2025-10-20 16:15:00,-1.0,LOSS,SL Hit
2025-10-27,SHORT,2025-10-27 17:00:00,0.18095238095238095,WIN,EOD Close,SHORT,2025-10-27 17:00:00,0.25252525252525254,WIN,EOD Close
2025-11-03,SHORT,2025-11-03 16:00:00,0.8762886597938145,WIN,EOD Close,SHORT,2025-11-03 16:00:00,0.3,WIN,EOD Close
2025-11-10,LONG,2025-11-10 16:15:00,-1.0,LOSS,SL Hit,LONG,2025-11-10 16:20:00,-1.0,LOSS,SL Hit
2025-11-17,LONG,2025-11-17 16:00:00,1.6,WIN,EOD Close,LONG,2025-11-17 16:00:00,2.0,WIN,TP Hit
2025-11-24,LONG,2025-11-24 16:15:00,-1.0,LOSS,SL Hit,LONG,2025-11-24 16:25:00,-1.0,LOSS,SL Hit
2025-12-01,LONG,2025-12-01 16:00:00,2.1031746031746033,WIN,EOD Close,LONG,2025-12-01 16:10:00,2.0,WIN,TP Hit
2025-12-08,LONG,2025-12-08 16:15:00,0.15000000000000002,WIN,EOD Close,LONG,2025-12-08 16:00:00,-0.05479452054794521,LOSS,EOD Close
2025-12-15,LONG,2025-12-15 16:00:00,0.24060150375939848,WIN,EOD Close,LONG,2025-12-15 16:10:00,0.24060150375939848,WIN,EOD Close
2025-12-22,SHORT,2025-12-22 17:30:00,-1.0,LOSS,SL Hit,SHORT,2025-12-22 16:15:00,-1.0,LOSS,SL Hit
2025-12-29,SHORT,2025-12-29 16:00:00,-1.0,LOSS,SL Hit,SHORT,2025-12-29 16:10:00,-1.0,LOSS,SL Hit
2026-01-05,LONG,2026-01-05 16:15:00,1.6034482758620692,WIN,EOD Close,LONG,2026-01-05 16:25:00,1.6034482758620692,WIN,EOD Close
2026-01-12,LONG,2026-01-12 16:45:00,-0.03061224489795918,LOSS,EOD Close,LONG,2026-01-12 16:00:00,0.14457831325301204,WIN,EOD Close
2026-01-19,SHORT,2026-01-19 16:00:00,-1.0,LOSS,SL Hit,SHORT,2026-01-19 16:10:00,-1.0,LOSS,SL Hit
2026-01-26,LONG,2026-01-26 17:00:00,0.5805084745762711,WIN,EOD Close,SHORT,2026-01-26 16:00:00,-1.0,LOSS,SL Hit
