date,direction_old,entry_time_old,R_old,result_old,exit_reason_old,direction_new,entry_time_new,R_new,result_new,exit_reason_new
2026-02-02,LONG,2026-02-02 18:00:00,-1.0,LOSS,SL Hit,LONG,2026-02-02 18:10:00,-1.0,LOSS,SL Hit
2026-02-09,SHORT,2026-02-09 16:00:00,0.49295774647887325,WIN,EOD Close,SHORT,2026-02-09 16:10:00,0.49295774647887325,WIN,EOD Close
2026-02-16,LONG,2026-02-16 16:45:00,0.19387755102040813,WIN,EOD Close,LONG,2026-02-16 16:55:00,0.19387755102040813,WIN,EOD Close
2026-02-23,LONG,2026-02-23 16:00:00,0.3,WIN,EOD Close,LONG,2026-02-23 16:00:00,0.02247191011235955,WIN,EOD Close
2026-03-02,LONG,2026-03-02 16:15:00,-1.0,LOSS,SL Hit,LONG,2026-03-02 16:05:00,-1.0,LOSS,SL Hit
2026-03-09,SHORT,2026-03-09 16:15:00,-1.0,LOSS,SL Hit,SHORT,2026-03-09 16:25:00,-1.0,LOSS,SL Hit
2026-03-16,SHORT,2026-03-16 18:30:00,-0.8724489795918368,LOSS,EOD Close,SHORT,2026-03-16 18:35:00,-0.8737373737373737,LOSS,EOD Close
2026-03-23,LONG,2026-03-23 16:15:00,0.09595959595959595,WIN,EOD Close,LONG,2026-03-23 16:15:00,0.1793478260869565,WIN,EOD Close
2026-03-30,SHORT,2026-03-30 16:00:00,-0.7606837606837608,LOSS,EOD Close,SHORT,2026-03-30 16:10:00,-0.7606837606837608,LOSS,EOD Close
2026-04-06,SHORT,2026-04-06 16:00:00,0.06666666666666667,WIN,EOD Close,SHORT,2026-04-06 16:05:00,0.25490196078431376,WIN,EOD Close
2026-04-13,SHORT,2026-04-13 16:15:00,2.5113636363636362,WIN,EOD Close,SHORT,2026-04-13 16:20:00,2.0,WIN,TP Hit
2026-04-20,SHORT,2026-04-20 17:45:00,-0.19745222929936307,LOSS,EOD Close,SHORT,2026-04-20 16:15:00,-0.24096385542168672,LOSS,EOD Close
2026-04-27,LONG,2026-04-27 16:15:00,3.0000000000000004,WIN,TP Hit,LONG,2026-04-27 16:20:00,2.0,WIN,TP Hit
2026-05-04,LONG,2026-05-04 16:00:00,-1.0,LOSS,SL Hit,LONG,2026-05-04 16:10:00,-1.0,LOSS,SL Hit
2026-05-11,LONG,2026-05-11 18:15:00,0.9230769230769231,WIN,EOD Close,SHORT,2026-05-11 16:35:00,-1.0,LOSS,SL Hit
2026-05-18,SHORT,2026-05-18 16:00:00,-1.0,LOSS,SL Hit,SHORT,2026-05-18 16:10:00,-1.0,LOSS,SL Hit
2026-05-25,LONG,2026-05-25 16:00:00,1.5882352941176472,WIN,EOD Close,LONG,2026-05-25 16:00:00,1.5882352941176472,WIN,EOD Close
2026-06-01,SHORT,2026-06-01 16:45:00,-1.0,LOSS,SL Hit,LONG,2026-06-01 16:05:00,-1.0,LOSS,SL Hit
2026-06-08,LONG,2026-06-08 16:45:00,-1.0,LOSS,SL Hit,LONG,2026-06-08 16:35:00,-1.0,LOSS,SL Hit
2026-06-15,SHORT,2026-06-15 16:45:00,-1.0,LOSS,SL Hit,SHORT,2026-06-15 16:50:00,-1.0,LOSS,SL Hit
2026-06-22,SHORT,2026-06-22 16:15:00,0.8271604938271605,WIN,EOD Close,SHORT,2026-06-22 16:15:00,0.14728682170542634,WIN,EOD Close
2026-06-29,SHORT,2026-06-29 16:00:00,-0.27027027027027023,LOSS,EOD Close,SHORT,2026-06-29 16:00:00,-0.34146341463414637,LOSS,EOD Close
2026-07-06,SHORT,2026-07-06 18:30:00,0.17821782178217824,WIN,EOD Close,SHORT,2026-07-06 17:35:00,0.451219512195122,WIN,EOD Close
2026-07-13,LONG,2026-07-13 16:15:00,0.5822784810126581,WIN,EOD Close,LONG,2026-07-13 16:20:00,2.0,WIN,TP Hit
2026-07-20,SHORT,2026-07-20 16:00:00,-1.0,LOSS,SL Hit,SHORT,2026-07-20 16:00:00,-1.0,LOSS,SL Hit
2026-07-27,LONG,2026-07-27 16:00:00,1.4050632911392404,WIN,EOD Close,LONG,2026-07-27 16:00:00,1.4050632911392404,WIN,EOD Close
2026-08-03,LONG,2026-08-03 17:00:00,0.009708737864077669,WIN,EOD Close,LONG,2026-08-03 16:45:00,0.25301204819277107,WIN,EOD Close
2026-08-10,SHORT,2026-08-10 16:15:00,-1.0,LOSS,SL Hit,SHORT,2026-08-10 16:25:00,-1.0,LOSS,SL Hit
2026-08-17,SHORT,2026-08-17 17:15:00,-1.0,LOSS,SL Hit,SHORT,2026-08-17 17:25:00,-1.0,LOSS,SL Hit
2026-08-24,LONG,2026-08-24 16:15:00,-0.21359223300970875,LOSS,EOD Close,LONG,2026-08-24 16:25:00,-0.21359223300970875,LOSS,EOD Close
2026-08-31,SHORT,2026-08-31 17:00:00,0.4555555555555555,WIN,EOD Close,SHORT,2026-08-31 17:05:00,0.8194444444444444,WIN,EOD Close
2026-09-07,SHORT,2026-09-07 16:45:00,-1.0,LOSS,SL Hit,LONG,2026-09-07 16:15:00,-1.0,LOSS,SL Hit
