date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2026-02-05,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.17944,1.17902,4.2,2026-02-05 11:45:00,1.17951,1.17882,1.18089,6.9,LOSS,-6.9,2026-02-05 12:00:00,1.17882,SL Hit
2026-02-12,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.18813,1.18767,4.6,2026-02-12 11:50:00,1.18827,1.18747,1.18987,8.0,LOSS,-8.0,2026-02-12 12:40:00,1.18747,SL Hit
2026-02-19,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.17822,1.17766,5.6,2026-02-19 12:10:00,1.17763,1.17842,1.17605,7.9,WIN,15.8,2026-02-19 13:05:00,1.1760499999999998,TP Hit
2026-02-26,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.18031,1.18003,2.8,2026-02-26 12:10:00,1.18046,1.17983,1.18172,6.3,LOSS,-6.3,2026-02-26 15:20:00,1.17983,SL Hit
2026-03-05,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16109,1.16038,7.1,2026-03-05 11:55:00,1.16115,1.16018,1.16309,9.7,LOSS,-9.7,2026-03-05 13:40:00,1.16018,SL Hit
2026-03-12,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.15662,1.15584,7.8,2026-03-12 11:50:00,1.15532,1.15682,1.15232,15.0,WIN,30.0,2026-03-12 13:20:00,1.1523199999999998,TP Hit
2026-03-19,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.14733,1.14674,5.9,2026-03-19 11:50:00,1.14751,1.14654,1.14945,9.7,LOSS,-9.7,2026-03-19 12:25:00,1.1465400000000001,SL Hit
2026-03-26,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.15448,1.15322,12.6,2026-03-26 11:45:00,1.15285,1.15468,1.14919,18.3,LOSS,-18.3,2026-03-26 13:40:00,1.15468,SL Hit
2026-04-02,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.15194,1.15104,9.0,2026-04-02 12:00:00,1.15252,1.15084,1.15588,16.8,WIN,33.6,2026-04-02 14:35:00,1.1558799999999998,TP Hit
2026-04-09,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16887,1.16801,8.6,2026-04-09 11:45:00,1.16891,1.16781,1.17111,11.0,LOSS,-11.0,2026-04-09 14:35:00,1.16781,SL Hit
2026-04-16,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.17874,1.17819,5.5,2026-04-16 11:45:00,1.17814,1.17894,1.17654,8.0,WIN,0.4,2026-04-16 23:55:00,1.1781,EOD Close
2026-04-23,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16842,1.16792,5.0,2026-04-23 11:45:00,1.16871,1.16772,1.17069,9.9,WIN,19.8,2026-04-23 14:25:00,1.1706899999999996,TP Hit
2026-04-30,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.17196,1.171,9.6,2026-04-30 11:50:00,1.17057,1.17216,1.16739,15.9,LOSS,-15.9,2026-04-30 14:50:00,1.1721599999999999,SL Hit
2026-05-07,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.17681,1.1763,5.1,2026-05-07 11:55:00,1.17698,1.1761,1.17874,8.8,LOSS,-8.8,2026-05-07 16:05:00,1.1761,SL Hit
2026-05-14,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.17057,1.16999,5.8,2026-05-14 11:55:00,1.16998,1.17077,1.1684,7.9,WIN,15.8,2026-05-14 14:55:00,1.1683999999999999,TP Hit
