date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2026-02-05,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.17944,1.17902,4.2,2026-02-05 12:30:00,1.17949,1.17882,1.18083,6.7,WIN,13.4,2026-02-05 13:30:00,1.1808299999999998,TP Hit
2026-02-12,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.18813,1.18767,4.6,2026-02-12 11:45:00,1.18844,1.18747,1.19038,9.7,LOSS,-9.7,2026-02-12 12:30:00,1.18747,SL Hit
2026-02-19,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.17822,1.17766,5.6,2026-02-19 12:00:00,1.17763,1.17842,1.17605,7.9,WIN,15.8,2026-02-19 13:00:00,1.1760499999999998,TP Hit
2026-02-26,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.18031,1.18003,2.8,2026-02-26 12:00:00,1.18046,1.17983,1.18172,6.3,LOSS,-6.3,2026-02-26 15:15:00,1.17983,SL Hit
2026-03-05,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.16109,1.16038,7.1,2026-03-05 11:45:00,1.16115,1.16018,1.16309,9.7,LOSS,-9.7,2026-03-05 13:30:00,1.16018,SL Hit
2026-03-12,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.15662,1.15584,7.8,2026-03-12 11:45:00,1.15564,1.15682,1.15328,11.8,WIN,23.6,2026-03-12 12:45:00,1.15328,TP Hit
2026-03-19,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.14733,1.14674,5.9,2026-03-19 11:45:00,1.14797,1.14654,1.15083,14.3,LOSS,-14.3,2026-03-19 12:15:00,1.1465400000000001,SL Hit
2026-03-26,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.15448,1.15322,12.6,2026-03-26 11:45:00,1.15243,1.15468,1.14793,22.5,LOSS,-22.5,2026-03-26 13:30:00,1.15468,SL Hit
2026-04-02,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.15194,1.15104,9.0,2026-04-02 12:00:00,1.1526,1.15084,1.15612,17.6,WIN,35.2,2026-04-02 14:30:00,1.15612,TP Hit
2026-04-09,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.16887,1.16801,8.6,2026-04-09 13:30:00,1.16917,1.16781,1.17189,13.6,LOSS,-13.6,2026-04-09 14:30:00,1.16781,SL Hit
2026-04-16,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.17874,1.17819,5.5,2026-04-16 12:00:00,1.17802,1.17894,1.17618,9.2,LOSS,-0.8,2026-04-16 23:45:00,1.1781,EOD Close
2026-04-23,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.16842,1.16792,5.0,2026-04-23 11:45:00,1.16909,1.16772,1.17183,13.7,LOSS,-13.7,2026-04-23 17:30:00,1.16772,SL Hit
2026-04-30,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.17196,1.171,9.6,2026-04-30 11:45:00,1.1705,1.17216,1.16718,16.6,LOSS,-16.6,2026-04-30 14:45:00,1.1721599999999999,SL Hit
2026-05-07,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.17681,1.1763,5.1,2026-05-07 11:45:00,1.17698,1.1761,1.17874,8.8,LOSS,-8.8,2026-05-07 16:00:00,1.1761,SL Hit
2026-05-14,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.17057,1.16999,5.8,2026-05-14 11:45:00,1.16998,1.17077,1.1684,7.9,WIN,15.8,2026-05-14 14:45:00,1.1683999999999999,TP Hit
2026-05-21,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.16145,1.16069,7.6,2026-05-21 11:45:00,1.15991,1.16165,1.15643,17.4,LOSS,-17.4,2026-05-21 17:15:00,1.16165,SL Hit
2026-05-28,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.16119,1.1608,3.9,2026-05-28 11:45:00,1.16172,1.1606,1.16396,11.2,WIN,22.4,2026-05-28 13:00:00,1.16396,TP Hit
2026-06-04,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.16441,1.1637,7.1,2026-06-04 12:45:00,1.16369,1.16461,1.16185,9.2,WIN,18.4,2026-06-04 18:15:00,1.1618499999999998,TP Hit
2026-06-11,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.15417,1.15367,5.0,2026-06-11 12:00:00,1.1534,1.15437,1.15146,9.7,WIN,19.4,2026-06-11 15:00:00,1.1514600000000002,TP Hit
2026-06-18,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.14655,1.14582,7.3,2026-06-18 11:45:00,1.14574,1.14675,1.14372,10.1,LOSS,-10.1,2026-06-18 12:00:00,1.14675,SL Hit
2026-06-25,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.13392,1.13337,5.5,2026-06-25 12:00:00,1.13416,1.13317,1.13614,9.9,WIN,19.8,2026-06-25 12:30:00,1.1361400000000001,TP Hit
2026-07-02,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.14147,1.14077,7.0,2026-07-02 11:45:00,1.14041,1.14167,1.13789,12.6,LOSS,-12.6,2026-07-02 12:30:00,1.14167,SL Hit
2026-07-09,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.1427,1.14221,4.9,2026-07-09 11:45:00,1.14295,1.14201,1.14483,9.4,WIN,3.8,2026-07-09 23:45:00,1.14333,EOD Close
2026-07-16,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.14663,1.14601,6.2,2026-07-16 11:45:00,1.14686,1.14581,1.14896,10.5,LOSS,-10.5,2026-07-16 12:30:00,1.14581,SL Hit
2026-07-23,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.13988,1.13835,15.3,2026-07-23 12:30:00,1.13784,1.14008,1.13336,22.4,WIN,2.1,2026-07-23 23:45:00,1.13763,EOD Close
2026-07-30,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.14681,1.14651,3.0,2026-07-30 11:45:00,1.1476,1.14631,1.15018,12.9,WIN,25.8,2026-07-30 13:30:00,1.15018,TP Hit
2026-08-06,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.15458,1.15386,7.2,2026-08-06 13:00:00,1.15381,1.15478,1.15187,9.7,WIN,19.4,2026-08-06 16:15:00,1.1518700000000002,TP Hit
2026-08-13,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.15375,1.15351,2.4,2026-08-13 11:45:00,1.15341,1.15395,1.15233,5.4,LOSS,-5.4,2026-08-13 12:45:00,1.15395,SL Hit
2026-08-20,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.1696,1.16875,8.5,2026-08-20 11:45:00,1.16849,1.1698,1.16587,13.1,LOSS,-2.6,2026-08-20 23:45:00,1.16875,EOD Close
2026-08-27,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.16443,1.16377,6.6,2026-08-27 13:00:00,1.16484,1.16357,1.16738,12.7,WIN,5.2,2026-08-27 23:45:00,1.16536,EOD Close
2026-09-03,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.16116,1.16055,6.1,2026-09-03 11:45:00,1.16127,1.16035,1.16311,9.2,WIN,18.4,2026-09-03 16:15:00,1.16311,TP Hit
