date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2025-09-04,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.16462,1.16423,3.9,2025-09-04 12:00:00,1.16477,1.16403,1.16625,7.4,LOSS,-7.4,2025-09-04 12:30:00,1.1640300000000001,SL Hit
2025-09-11,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.16865,1.16781,8.4,2025-09-11 12:30:00,1.17053,1.16761,1.17637,29.2,WIN,28.1,2025-09-11 23:45:00,1.17334,EOD Close
2025-09-18,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.18333,1.18226,10.7,2025-09-18 12:00:00,1.1818,1.18353,1.17834,17.3,WIN,34.6,2025-09-18 13:15:00,1.17834,TP Hit
2025-09-25,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.17439,1.17348,9.1,2025-09-25 12:00:00,1.1734,1.17459,1.17102,11.9,WIN,23.8,2025-09-25 12:30:00,1.17102,TP Hit
2025-10-02,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.17567,1.17491,7.6,2025-10-02 12:15:00,1.17477,1.17587,1.17257,11.0,WIN,22.0,2025-10-02 13:30:00,1.1725700000000003,TP Hit
2025-10-09,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.16214,1.16144,7.0,2025-10-09 11:45:00,1.16122,1.16234,1.15898,11.2,WIN,22.4,2025-10-09 14:15:00,1.15898,TP Hit
2025-10-16,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.16542,1.16465,7.7,2025-10-16 12:45:00,1.16604,1.16445,1.16922,15.9,WIN,31.8,2025-10-16 17:15:00,1.16922,TP Hit
2025-10-23,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.15929,1.15859,7.0,2025-10-23 12:30:00,1.15998,1.15839,1.16316,15.9,WIN,17.3,2025-10-23 23:45:00,1.16171,EOD Close
2025-10-30,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.1611,1.16019,9.1,2025-10-30 11:45:00,1.1598,1.1613,1.1568,15.0,WIN,30.0,2025-10-30 12:30:00,1.1567999999999998,TP Hit
2025-11-06,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.1521,1.15134,7.6,2025-11-06 12:00:00,1.15224,1.15114,1.15444,11.0,WIN,22.0,2025-11-06 18:00:00,1.1544399999999997,TP Hit
2025-11-13,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.16204,1.16132,7.2,2025-11-13 11:45:00,1.16064,1.16224,1.15744,16.0,LOSS,-16.0,2025-11-13 12:45:00,1.16224,SL Hit
2025-11-20,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.15209,1.1515,5.9,2025-11-20 11:45:00,1.15144,1.15229,1.14974,8.5,LOSS,-8.5,2025-11-20 13:30:00,1.15229,SL Hit
2025-11-27,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.15851,1.15816,3.5,2025-11-27 11:45:00,1.15863,1.15796,1.15997,6.7,WIN,13.4,2025-11-27 16:15:00,1.15997,TP Hit
2025-12-04,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.16795,1.16751,4.4,2025-12-04 11:45:00,1.16803,1.16731,1.16947,7.2,LOSS,-7.2,2025-12-04 12:30:00,1.16731,SL Hit
2025-12-11,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.17179,1.17113,6.6,2025-12-11 13:15:00,1.17203,1.17093,1.17423,11.0,WIN,22.0,2025-12-11 14:15:00,1.1742299999999997,TP Hit
2025-12-18,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.17275,1.17214,6.1,2025-12-18 11:45:00,1.17205,1.17295,1.17025,9.0,LOSS,-9.0,2025-12-18 13:15:00,1.17295,SL Hit
2026-01-08,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.16783,1.16753,3.0,2026-01-08 12:00:00,1.16725,1.16803,1.16569,7.8,WIN,15.6,2026-01-08 14:15:00,1.16569,TP Hit
2026-01-15,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,SHORT,1.16365,1.16324,4.1,2026-01-15 11:45:00,1.1631,1.16385,1.1616,7.5,WIN,15.0,2026-01-15 13:30:00,1.1616,TP Hit
2026-01-22,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.17027,1.16966,6.1,2026-01-22 12:00:00,1.17039,1.16946,1.17225,9.3,WIN,18.6,2026-01-22 14:30:00,1.1722500000000002,TP Hit
2026-01-29,Thursday,EURUSD,11:30,05:00 PM,15min,2.0,66.7,LONG,1.19507,1.19455,5.2,2026-01-29 12:15:00,1.19516,1.19435,1.19678,8.1,WIN,16.2,2026-01-29 13:00:00,1.19678,TP Hit
