date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2026-02-02,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.36929,1.36697,23.2,2026-02-02 18:00:00,1.36996,1.36677,1.37953,31.9,LOSS,-31.9,2026-02-02 21:00:00,1.36677,SL Hit
2026-02-09,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.35805,1.35718,8.7,2026-02-09 16:00:00,1.35683,1.35825,1.35257,14.2,WIN,7.0,2026-02-09 23:45:00,1.35613,EOD Close
2026-02-16,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.36342,1.36269,7.3,2026-02-16 16:45:00,1.36347,1.36249,1.36641,9.8,WIN,1.9,2026-02-16 23:45:00,1.36366,EOD Close
2026-02-23,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.36896,1.36784,11.2,2026-02-23 16:00:00,1.36904,1.36764,1.37324,14.0,WIN,4.2,2026-02-23 23:45:00,1.36946,EOD Close
2026-03-02,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.3704,1.36949,9.1,2026-03-02 16:15:00,1.37122,1.36929,1.37701,19.3,LOSS,-19.3,2026-03-02 19:00:00,1.3692900000000001,SL Hit
2026-03-09,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.35805,1.35697,10.8,2026-03-09 16:15:00,1.35679,1.35825,1.35241,14.6,LOSS,-14.6,2026-03-09 17:15:00,1.35825,SL Hit
2026-03-16,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.36876,1.36718,15.8,2026-03-16 18:30:00,1.367,1.36896,1.36112,19.6,LOSS,-17.1,2026-03-16 23:45:00,1.36871,EOD Close
2026-03-23,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.37238,1.37109,12.9,2026-03-23 16:15:00,1.37287,1.37089,1.37881,19.8,WIN,1.9,2026-03-23 23:45:00,1.37306,EOD Close
2026-03-30,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.39298,1.39217,8.1,2026-03-30 16:00:00,1.39201,1.39318,1.3885,11.7,LOSS,-8.9,2026-03-30 23:45:00,1.3929,EOD Close
2026-04-06,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.39234,1.39153,8.1,2026-04-06 16:00:00,1.39134,1.39254,1.38774,12.0,WIN,0.8,2026-04-06 23:45:00,1.39126,EOD Close
2026-04-13,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.38154,1.38094,6.0,2026-04-13 16:15:00,1.38086,1.38174,1.37822,8.8,WIN,22.1,2026-04-13 23:45:00,1.37865,EOD Close
2026-04-20,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.36553,1.3642,13.3,2026-04-20 17:45:00,1.36416,1.36573,1.35945,15.7,LOSS,-3.1,2026-04-20 23:45:00,1.36447,EOD Close
2026-04-27,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.36172,1.36147,2.5,2026-04-27 16:15:00,1.36173,1.36127,1.36311,4.6,WIN,13.8,2026-04-27 19:45:00,1.3631100000000005,TP Hit
