date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2025-09-08,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.38254,1.38199,5.5,2025-09-08 16:15:00,1.38265,1.38179,1.38437,8.6,LOSS,-8.6,2025-09-08 18:15:00,1.38179,SL Hit
2025-09-15,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,SHORT,1.38055,1.37939,11.6,2025-09-15 17:30:00,1.37879,1.38075,1.37487,19.6,WIN,12.8,2025-09-15 23:45:00,1.37751,EOD Close
2025-09-22,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.38186,1.38112,7.4,2025-09-22 16:15:00,1.38232,1.38092,1.38512,14.0,WIN,2.5,2025-09-22 23:45:00,1.38257,EOD Close
2025-09-29,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.39131,1.39033,9.8,2025-09-29 16:30:00,1.39134,1.39013,1.39376,12.1,WIN,4.4,2025-09-29 23:45:00,1.39178,EOD Close
2025-10-06,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.39513,1.39465,4.8,2025-10-06 16:15:00,1.39521,1.39445,1.39673,7.6,LOSS,-7.6,2025-10-06 20:30:00,1.39445,SL Hit
2025-10-13,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.40289,1.40237,5.2,2025-10-13 16:15:00,1.40305,1.40217,1.40481,8.8,WIN,9.3,2025-10-13 23:45:00,1.40398,EOD Close
2025-10-20,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.40331,1.40291,4.0,2025-10-20 17:45:00,1.40363,1.40271,1.40547,9.2,LOSS,-2.6,2025-10-20 23:45:00,1.40337,EOD Close
2025-10-27,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,SHORT,1.40026,1.39966,6.0,2025-10-27 17:00:00,1.39941,1.40046,1.39731,10.5,WIN,1.9,2025-10-27 23:45:00,1.39922,EOD Close
2025-11-03,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,SHORT,1.40722,1.40657,6.5,2025-11-03 16:00:00,1.40645,1.40742,1.40451,9.7,WIN,8.5,2025-11-03 23:45:00,1.4056,EOD Close
2025-11-10,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.40287,1.40246,4.1,2025-11-10 16:15:00,1.40317,1.40226,1.40499,9.1,LOSS,-9.1,2025-11-10 17:30:00,1.40226,SL Hit
2025-11-17,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.40284,1.40247,3.7,2025-11-17 16:00:00,1.40337,1.40227,1.40557,11.0,WIN,22.0,2025-11-17 20:00:00,1.4055699999999998,TP Hit
2025-11-24,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.4114,1.41077,6.3,2025-11-24 16:15:00,1.41161,1.41057,1.41369,10.4,LOSS,-10.4,2025-11-24 18:45:00,1.41057,SL Hit
2025-12-01,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.39739,1.39647,9.2,2025-12-01 16:00:00,1.39753,1.39627,1.40005,12.6,WIN,25.2,2025-12-01 20:45:00,1.4000499999999996,TP Hit
2025-12-08,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.3845,1.38303,14.7,2025-12-08 16:15:00,1.38463,1.38283,1.38823,18.0,WIN,2.7,2025-12-08 23:45:00,1.3849,EOD Close
2025-12-15,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.37645,1.37553,9.2,2025-12-15 16:00:00,1.37666,1.37533,1.37932,13.3,WIN,3.2,2025-12-15 23:45:00,1.37698,EOD Close
2025-12-22,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,SHORT,1.37465,1.37402,6.3,2025-12-22 17:30:00,1.37394,1.37485,1.37212,9.1,LOSS,-9.1,2025-12-22 19:45:00,1.37485,SL Hit
2025-12-29,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,SHORT,1.36796,1.36699,9.7,2025-12-29 16:00:00,1.36689,1.36816,1.36435,12.7,LOSS,-12.7,2025-12-29 16:30:00,1.36816,SL Hit
2026-01-05,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.37549,1.37455,9.4,2026-01-05 16:15:00,1.37551,1.37435,1.37783,11.6,WIN,18.6,2026-01-05 23:45:00,1.37737,EOD Close
2026-01-12,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.38745,1.38692,5.3,2026-01-12 16:45:00,1.3877,1.38672,1.38966,9.8,LOSS,-0.3,2026-01-12 23:45:00,1.38767,EOD Close
2026-01-19,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,SHORT,1.38722,1.38627,9.5,2026-01-19 16:00:00,1.38621,1.38742,1.38379,12.1,LOSS,-12.1,2026-01-19 23:15:00,1.3874199999999999,SL Hit
2026-01-26,Monday,USDCAD,15:45,09:15 PM,15min,2.0,61.5,LONG,1.36962,1.36793,16.9,2026-01-26 17:00:00,1.37009,1.36773,1.37481,23.6,WIN,13.7,2026-01-26 23:45:00,1.37146,EOD Close
