date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2025-09-08,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,LONG,1.38254,1.38199,5.5,2025-09-08 16:15:00,1.38256,1.38179,1.3841,7.7,LOSS,-7.7,2025-09-08 18:25:00,1.38179,SL Hit
2025-09-15,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,SHORT,1.38055,1.37939,11.6,2025-09-15 17:30:00,1.37934,1.38075,1.37652,14.1,WIN,18.3,2025-09-15 23:55:00,1.37751,EOD Close
2025-09-22,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,LONG,1.38186,1.38112,7.4,2025-09-22 16:20:00,1.38223,1.38092,1.38485,13.1,WIN,3.4,2025-09-22 23:55:00,1.38257,EOD Close
2025-09-29,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,LONG,1.39131,1.39033,9.8,2025-09-29 16:35:00,1.39134,1.39013,1.39376,12.1,WIN,4.4,2025-09-29 23:55:00,1.39178,EOD Close
2025-10-06,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,LONG,1.39513,1.39465,4.8,2025-10-06 16:25:00,1.39521,1.39445,1.39673,7.6,LOSS,-7.6,2025-10-06 20:30:00,1.39445,SL Hit
2025-10-13,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,LONG,1.40289,1.40237,5.2,2025-10-13 16:15:00,1.40306,1.40217,1.40484,8.9,WIN,9.2,2025-10-13 23:55:00,1.40398,EOD Close
2025-10-20,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,SHORT,1.40331,1.40291,4.0,2025-10-20 16:15:00,1.40286,1.40351,1.40156,6.5,LOSS,-6.5,2025-10-20 17:35:00,1.40351,SL Hit
2025-10-27,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,SHORT,1.40026,1.39966,6.0,2025-10-27 17:00:00,1.39947,1.40046,1.39749,9.9,WIN,2.5,2025-10-27 23:55:00,1.39922,EOD Close
2025-11-03,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,SHORT,1.40722,1.40657,6.5,2025-11-03 16:00:00,1.40602,1.40742,1.40322,14.0,WIN,4.2,2025-11-03 23:55:00,1.4056,EOD Close
2025-11-10,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,LONG,1.40287,1.40246,4.1,2025-11-10 16:20:00,1.40297,1.40226,1.40439,7.1,LOSS,-7.1,2025-11-10 17:40:00,1.40226,SL Hit
2025-11-17,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,LONG,1.40284,1.40247,3.7,2025-11-17 16:00:00,1.40306,1.40227,1.40464,7.9,WIN,15.8,2025-11-17 19:35:00,1.4046399999999997,TP Hit
2025-11-24,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,LONG,1.4114,1.41077,6.3,2025-11-24 16:25:00,1.41161,1.41057,1.41369,10.4,LOSS,-10.4,2025-11-24 18:55:00,1.41057,SL Hit
2025-12-01,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,LONG,1.39739,1.39647,9.2,2025-12-01 16:10:00,1.39753,1.39627,1.40005,12.6,WIN,25.2,2025-12-01 20:55:00,1.4000499999999996,TP Hit
2025-12-08,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,LONG,1.3845,1.38303,14.7,2025-12-08 16:00:00,1.38502,1.38283,1.3894,21.9,LOSS,-1.2,2025-12-08 23:55:00,1.3849,EOD Close
2025-12-15,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,LONG,1.37645,1.37553,9.2,2025-12-15 16:10:00,1.37666,1.37533,1.37932,13.3,WIN,3.2,2025-12-15 23:55:00,1.37698,EOD Close
2025-12-22,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,SHORT,1.37465,1.37402,6.3,2025-12-22 16:15:00,1.37396,1.37485,1.37218,8.9,LOSS,-8.9,2025-12-22 19:50:00,1.37485,SL Hit
2025-12-29,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,SHORT,1.36796,1.36699,9.7,2025-12-29 16:10:00,1.36689,1.36816,1.36435,12.7,LOSS,-12.7,2025-12-29 16:40:00,1.36816,SL Hit
2026-01-05,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,LONG,1.37549,1.37455,9.4,2026-01-05 16:25:00,1.37551,1.37435,1.37783,11.6,WIN,18.6,2026-01-05 23:55:00,1.37737,EOD Close
2026-01-12,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,LONG,1.38745,1.38692,5.3,2026-01-12 16:00:00,1.38755,1.38672,1.38921,8.3,WIN,1.2,2026-01-12 23:55:00,1.38767,EOD Close
2026-01-19,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,SHORT,1.38722,1.38627,9.5,2026-01-19 16:10:00,1.38621,1.38742,1.38379,12.1,LOSS,-12.1,2026-01-19 23:25:00,1.3874199999999999,SL Hit
2026-01-26,Monday,USDCAD,15:45,09:15 PM,5min,2.0,61.5,SHORT,1.36962,1.36793,16.9,2026-01-26 16:00:00,1.36779,1.36982,1.36373,20.3,LOSS,-20.3,2026-01-26 16:35:00,1.36982,SL Hit
