date,balance,level
2026-02-02,4950.0,5000
2026-02-04,5007.083333333333,5000
2026-02-05,4957.083333333333,5000
2026-02-09,4981.731220657277,5000
2026-02-11,5038.4441836202395,5000
2026-02-12,4988.4441836202395,5000
2026-02-16,4998.13806117126,5000
2026-02-18,5093.9301403791815,5000
2026-02-19,5193.9301403791815,5000
2026-02-23,5208.9301403791815,5000
2026-02-25,5274.040030489072,5000
2026-02-26,5224.040030489072,5000
2026-03-02,5174.040030489072,5000
2026-03-04,5124.040030489072,5000
2026-03-05,5074.040030489072,5000
2026-03-09,5024.040030489072,5000
2026-03-11,5105.219805769971,5000
2026-03-12,5205.219805769971,5000
2026-03-16,5161.597356790378,5000
2026-03-18,5111.597356790378,5000
2026-03-19,5061.597356790378,5000
2026-03-23,5066.395336588358,5000
2026-03-25,5075.116266820916,5000
2026-03-26,5025.116266820916,5000
2026-03-30,4987.082078786728,5000
2026-04-01,4937.082078786728,5000
2026-04-02,5037.082078786728,5000
2026-04-06,5040.415412120061,5000
2026-04-08,5111.873745453394,5000
2026-04-09,5061.873745453394,5000
2026-04-13,5187.441927271576,5000
2026-04-15,5137.441927271576,5000
2026-04-16,5139.941927271576,5000
2026-04-20,5130.069315806608,5000
2026-04-22,5103.671800278657,5000
2026-04-23,5203.671800278657,5000
2026-04-27,5353.671800278657,5000
2026-04-29,5351.304936373332,5000
2026-04-30,5301.304936373332,5000
2026-05-04,5251.304936373332,5000
2026-05-06,5251.636062201146,5000
2026-05-07,5201.636062201146,5000
2026-05-11,5247.789908354992,5000
2026-05-13,5250.305631625432,5000
2026-05-14,5350.305631625432,5000
2026-05-18,5300.305631625432,5000
2026-05-20,5277.34266866247,5000
2026-05-21,5377.34266866247,5000
2026-05-25,5456.754433368352,5000
2026-05-27,5406.754433368352,5000
2026-05-28,5506.754433368352,5000
2026-06-01,5456.754433368352,5000
2026-06-03,5406.754433368352,5000
2026-06-04,5506.754433368352,5000
2026-06-08,5456.754433368352,5000
2026-06-10,5543.361576225495,5000
2026-06-11,5643.361576225495,5000
2026-06-15,4950.0,5000
2026-06-17,4900.0,5000
2026-06-18,4850.0,5000
2026-06-22,4891.358024691358,5000
2026-06-24,4886.4224023737615,5000
2026-06-25,4986.4224023737615,5000
2026-06-29,4972.908888860248,5000
2026-07-01,4954.500928661243,5000
2026-07-02,4904.500928661243,5000
2026-07-06,4913.411819750352,5000
2026-07-08,4863.411819750352,5000
2026-07-09,4881.453056863754,5000
2026-07-13,4910.5669809143865,5000
2026-07-15,5060.5669809143865,5000
2026-07-16,5010.5669809143865,5000
2026-07-20,4960.5669809143865,5000
2026-07-22,4937.732335245095,5000
2026-07-23,4955.411893256145,5000
2026-07-27,5025.665057813107,5000
2026-07-29,4975.665057813107,5000
2026-07-30,5075.665057813107,5000
2026-08-03,5076.15049470631,5000
2026-08-05,5072.47817832213,5000
2026-08-06,5172.47817832213,5000
2026-08-10,5122.47817832213,5000
2026-08-12,5139.292337614165,5000
2026-08-13,5089.292337614165,5000
2026-08-17,5039.292337614165,5000
2026-08-19,5054.168370672017,5000
2026-08-20,5051.043370672017,5000
2026-08-24,5040.363759021531,5000
2026-08-26,5042.972454673705,5000
2026-08-27,4992.972454673705,5000
2026-08-31,5015.750232451483,5000
2026-09-02,5054.1430895943395,5000
2026-09-03,5154.1430895943395,5000
2026-09-07,5104.1430895943395,5000
