date,balance,level,accounts
2026-02-01,5000.0,5000.0,1
2026-02-02,4950.0,5000.0,1
2026-02-04,5100.0,5000.0,1
2026-02-05,5050.0,5000.0,1
2026-02-09,5200.0,5000.0,1
2026-02-11,5350.0,5000.0,1
2026-02-12,5300.0,5000.0,1
2026-02-16,5450.0,5000.0,1
2026-02-18,5600.0,5000.0,1
2026-02-19,5100.0,5000.0,1
2026-02-23,5250.0,5000.0,1
2026-02-25,5400.0,5000.0,1
2026-02-26,5350.0,5000.0,1
2026-03-02,5300.0,5000.0,1
2026-03-04,5250.0,5000.0,1
2026-03-05,5200.0,5000.0,1
2026-03-09,5150.0,5000.0,1
2026-03-11,5300.0,5000.0,1
2026-03-12,5400.0,5000.0,1
2026-03-16,5350.0,5000.0,1
2026-03-18,5300.0,5000.0,1
2026-03-19,5250.0,5000.0,1
2026-03-23,5400.0,5000.0,1
2026-03-25,5550.0,5000.0,1
2026-03-26,5500.0,5000.0,1
2026-03-30,5450.0,5000.0,1
2026-04-01,5400.0,5000.0,1
2026-04-02,5500.0,5000.0,1
2026-04-06,10800.0,10000.0,2
2026-04-08,10450.0,10000.0,2
2026-04-09,10350.0,10000.0,2
2026-04-13,10650.0,10000.0,2
2026-04-15,10550.0,10000.0,2
2026-04-16,10750.0,10000.0,2
2026-04-20,10650.0,10000.0,2
2026-04-22,10550.0,10000.0,2
2026-04-23,10750.0,10000.0,2
2026-04-27,11050.0,10000.0,2
2026-04-29,10350.0,10000.0,2
2026-04-30,10250.0,10000.0,2
2026-05-04,10150.0,10000.0,2
2026-05-06,10450.0,10000.0,2
2026-05-07,10350.0,10000.0,2
2026-05-11,10650.0,10000.0,2
2026-05-13,10950.0,10000.0,2
2026-05-14,13000.0,12500.0,2
2026-05-18,12875.0,12500.0,2
2026-05-20,12750.0,12500.0,2
2026-05-21,13000.0,12500.0,2
2026-05-25,13375.0,12500.0,2
2026-05-27,13250.0,12500.0,2
2026-05-28,13500.0,12500.0,2
2026-06-01,13375.0,12500.0,2
2026-06-03,13250.0,12500.0,2
2026-06-04,13500.0,12500.0,2
2026-06-08,13375.0,12500.0,2
2026-06-10,18900.0,17500.0,3
2026-06-11,18600.0,17500.0,3
2026-06-15,18425.0,17500.0,3
2026-06-17,18250.0,17500.0,3
2026-06-18,18075.0,17500.0,3
2026-06-22,18600.0,17500.0,3
2026-06-24,18425.0,17500.0,3
2026-06-25,18775.0,17500.0,3
2026-06-29,18600.0,17500.0,3
2026-07-01,18425.0,17500.0,3
2026-07-02,18250.0,17500.0,3
2026-07-06,18775.0,17500.0,3
2026-07-08,18600.0,17500.0,3
2026-07-09,18950.0,17500.0,3
2026-07-13,18575.0,17500.0,3
2026-07-15,19100.0,17500.0,3
2026-07-16,18275.0,17500.0,3
2026-07-20,18100.0,17500.0,3
2026-07-22,17925.0,17500.0,3
2026-07-23,18275.0,17500.0,3
2026-07-27,18800.0,17500.0,3
2026-07-29,20500.0,20000.0,3
2026-07-30,20900.0,20000.0,3
2026-08-03,21500.0,20000.0,3
2026-08-05,20400.0,20000.0,3
2026-08-06,20800.0,20000.0,3
2026-08-10,20600.0,20000.0,3
2026-08-12,21200.0,20000.0,3
2026-08-13,21000.0,20000.0,3
2026-08-17,20800.0,20000.0,3
2026-08-19,21400.0,20000.0,3
2026-08-20,21200.0,20000.0,3
2026-08-24,21000.0,20000.0,3
2026-08-26,21600.0,20000.0,3
2026-08-27,21400.0,20000.0,3
2026-08-31,27150.0,25000.0,4
2026-09-02,27250.0,25000.0,4
2026-09-03,26700.0,25000.0,4
2026-09-07,28025.0,27500.0,4
2026-09-09,28025.0,27500.0,4
