date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,break_time,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2025-08-01,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.3785,1.37791,5.9,2025-08-01 16:15:00,2025-08-01 20:00:00,1.3785,1.37771,1.38048,7.9,LOSS,-7.9,2025-08-01 20:30:00,1.37771,SL Hit
2025-08-04,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.37779,1.37698,8.1,2025-08-04 17:15:00,2025-08-04 17:30:00,1.37779,1.37678,1.38082,10.1,LOSS,-9.1,2025-08-04 23:45:00,1.37688,EOD Close
2025-08-06,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33384,1.33273,11.1,2025-08-06 15:05:00,2025-08-06 15:35:00,1.33384,1.33253,1.33777,13.1,WIN,18.5,2025-08-06 23:55:00,1.33569,EOD Close
2025-08-07,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.37386,1.37291,9.5,2025-08-07 11:30:00,2025-08-07 12:15:00,1.37386,1.37271,1.37616,11.5,WIN,23.0,2025-08-07 14:00:00,1.37616,TP Hit
2025-08-07,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16548,1.16338,21.0,2025-08-07 14:15:00,2025-08-07 15:15:00,1.16338,1.16568,1.15878,23.0,LOSS,-23.0,2025-08-07 20:00:00,1.16568,SL Hit
2025-08-08,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,SHORT,1.37544,1.3749,5.4,2025-08-08 16:30:00,2025-08-08 16:45:00,1.3749,1.37564,1.37305,7.4,LOSS,-7.4,2025-08-08 19:15:00,1.37564,SL Hit
2025-08-11,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.37875,1.37834,4.1,2025-08-11 16:00:00,2025-08-11 16:15:00,1.37834,1.37895,1.37651,6.1,WIN,9.2,2025-08-11 23:45:00,1.37742,EOD Close
2025-08-13,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.35724,1.35658,6.6,2025-08-13 15:05:00,2025-08-13 15:10:00,1.35658,1.35744,1.354,8.6,LOSS,-8.6,2025-08-13 15:30:00,1.35744,SL Hit
2025-08-14,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.37829,1.37767,6.2,2025-08-14 11:45:00,2025-08-14 12:00:00,1.37829,1.37747,1.37993,8.2,WIN,16.4,2025-08-14 12:30:00,1.37993,TP Hit
2025-08-14,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.35731,1.35709,2.2,2025-08-14 03:55:00,2025-08-14 04:00:00,1.35731,1.35689,1.35815,4.2,LOSS,-4.2,2025-08-14 05:25:00,1.35689,SL Hit
2025-08-15,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.38115,1.38077,3.8,2025-08-15 17:15:00,2025-08-15 17:30:00,1.38115,1.38057,1.3826,5.8,WIN,6.0,2025-08-15 20:45:00,1.38175,EOD Close
2025-08-18,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.38231,1.38129,10.2,2025-08-18 16:00:00,2025-08-18 16:45:00,1.38129,1.38251,1.37763,12.2,WIN,10.7,2025-08-18 23:45:00,1.38022,EOD Close
2025-08-20,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.3473,1.34673,5.7,2025-08-20 15:10:00,2025-08-20 15:15:00,1.34673,1.3475,1.34442,7.7,WIN,2.1,2025-08-20 23:55:00,1.34652,EOD Close
2025-08-21,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16501,1.16442,5.9,2025-08-21 11:45:00,2025-08-21 12:30:00,1.16442,1.16521,1.16284,7.9,LOSS,-7.9,2025-08-21 12:30:00,1.16521,SL Hit
2025-08-25,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.38343,1.383,4.3,2025-08-25 16:15:00,2025-08-25 16:30:00,1.38343,1.3828,1.38532,6.3,WIN,18.9,2025-08-25 18:30:00,1.3853199999999997,TP Hit
2025-08-27,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.34694,1.34597,9.7,2025-08-27 15:05:00,2025-08-27 15:10:00,1.34694,1.34577,1.35045,11.7,WIN,35.1,2025-08-27 23:35:00,1.3504499999999997,TP Hit
2025-08-28,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.37656,1.37621,3.5,2025-08-28 11:30:00,2025-08-28 11:45:00,1.37656,1.37601,1.37766,5.5,LOSS,-5.5,2025-08-28 12:00:00,1.37601,SL Hit
2025-08-28,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.167,1.16618,8.2,2025-08-28 12:00:00,2025-08-28 12:15:00,1.167,1.16598,1.16904,10.2,LOSS,-10.2,2025-08-28 13:00:00,1.16598,SL Hit
2025-08-29,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.37329,1.3726,6.9,2025-08-29 16:30:00,2025-08-29 16:45:00,1.37329,1.3724,1.37551,8.9,WIN,8.3,2025-08-29 20:45:00,1.37412,EOD Close
2025-09-01,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.37611,1.37556,5.5,2025-09-01 16:15:00,2025-09-01 17:00:00,1.37556,1.37631,1.37331,7.5,WIN,7.8,2025-09-01 23:45:00,1.37478,EOD Close
2025-09-03,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.34357,1.34294,6.3,2025-09-03 15:05:00,2025-09-03 19:15:00,1.34357,1.34274,1.34606,8.3,WIN,4.6,2025-09-03 23:55:00,1.34403,EOD Close
2025-09-04,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,SHORT,1.3825,1.38226,2.4,2025-09-04 11:30:00,2025-09-04 11:45:00,1.38226,1.3827,1.38138,4.4,WIN,8.8,2025-09-04 12:00:00,1.38138,TP Hit
2025-09-04,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16457,1.16418,3.9,2025-09-04 12:00:00,2025-09-04 12:15:00,1.16457,1.16398,1.16575,5.9,WIN,11.8,2025-09-04 12:15:00,1.1657500000000003,TP Hit
2025-09-04,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.34295,1.34274,2.1,2025-09-04 03:50:00,2025-09-04 03:55:00,1.34274,1.34315,1.34192,4.1,LOSS,-4.1,2025-09-04 06:00:00,1.34315,SL Hit
2025-09-05,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.38271,1.38174,9.7,2025-09-05 16:45:00,2025-09-05 20:30:00,1.38271,1.38154,1.38564,11.7,LOSS,-1.9,2025-09-05 20:45:00,1.38252,EOD Close
2025-09-08,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.38246,1.38192,5.4,2025-09-08 16:15:00,2025-09-08 18:00:00,1.38246,1.38172,1.38468,7.4,LOSS,-7.4,2025-09-08 18:15:00,1.38172,SL Hit
2025-09-10,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.35548,1.3549,5.8,2025-09-10 15:05:00,2025-09-10 15:10:00,1.3549,1.35568,1.35256,7.8,WIN,23.4,2025-09-10 19:25:00,1.35256,TP Hit
2025-09-11,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.38789,1.38733,5.6,2025-09-11 11:30:00,2025-09-11 12:15:00,1.38789,1.38713,1.38941,7.6,LOSS,-7.6,2025-09-11 12:30:00,1.38713,SL Hit
2025-09-17,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.36599,1.36555,4.4,2025-09-17 15:05:00,2025-09-17 15:25:00,1.36599,1.36535,1.36791,6.4,WIN,19.2,2025-09-17 18:00:00,1.36791,TP Hit
2025-09-18,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.36223,1.36196,2.7,2025-09-18 04:00:00,2025-09-18 04:05:00,1.36196,1.36243,1.36102,4.7,WIN,9.4,2025-09-18 04:30:00,1.3610200000000001,TP Hit
2025-09-19,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.37753,1.37686,6.7,2025-09-19 16:15:00,2025-09-19 16:30:00,1.37753,1.37666,1.3797,8.7,WIN,1.2,2025-09-19 20:45:00,1.37765,EOD Close
2025-09-22,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.38179,1.38104,7.5,2025-09-22 16:15:00,2025-09-22 18:15:00,1.38179,1.38084,1.38464,9.5,WIN,7.0,2025-09-22 23:45:00,1.38249,EOD Close
2025-09-24,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.34562,1.34476,8.6,2025-09-24 15:10:00,2025-09-24 15:15:00,1.34476,1.34582,1.34158,10.6,LOSS,-1.3,2025-09-24 23:55:00,1.34489,EOD Close
2025-09-25,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.17435,1.17344,9.1,2025-09-25 12:00:00,2025-09-25 12:15:00,1.17344,1.17455,1.17122,11.1,WIN,22.2,2025-09-25 12:30:00,1.1712200000000001,TP Hit
2025-09-26,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,SHORT,1.39499,1.39448,5.1,2025-09-26 16:15:00,2025-09-26 16:30:00,1.39448,1.39519,1.3927,7.1,WIN,2.6,2025-09-26 20:45:00,1.39422,EOD Close
2025-09-29,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.39123,1.39025,9.8,2025-09-29 16:30:00,2025-09-29 16:45:00,1.39123,1.39005,1.39477,11.8,WIN,4.7,2025-09-29 23:45:00,1.3917,EOD Close
2025-10-02,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.39433,1.39385,4.8,2025-10-02 11:45:00,2025-10-02 12:00:00,1.39433,1.39365,1.39569,6.8,WIN,13.6,2025-10-02 13:45:00,1.39569,TP Hit
2025-10-03,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.39478,1.39424,5.4,2025-10-03 17:00:00,2025-10-03 17:15:00,1.39478,1.39404,1.39663,7.4,LOSS,-0.1,2025-10-03 20:45:00,1.39477,EOD Close
2025-10-06,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.39505,1.39457,4.8,2025-10-06 16:15:00,2025-10-06 16:30:00,1.39505,1.39437,1.39709,6.8,LOSS,-6.8,2025-10-06 20:30:00,1.39437,SL Hit
2025-10-09,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,SHORT,1.39547,1.39496,5.1,2025-10-09 11:30:00,2025-10-09 11:45:00,1.39496,1.39567,1.39354,7.1,LOSS,-7.1,2025-10-09 13:30:00,1.39567,SL Hit
2025-10-09,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.1621,1.1614,7.0,2025-10-09 11:45:00,2025-10-09 12:00:00,1.1614,1.1623,1.1596,9.0,WIN,18.0,2025-10-09 13:30:00,1.1596000000000002,TP Hit
2025-10-10,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.40041,1.39978,6.3,2025-10-10 16:30:00,2025-10-10 16:45:00,1.40041,1.39958,1.40248,8.3,LOSS,-8.3,2025-10-10 18:15:00,1.39958,SL Hit
2025-10-13,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.40281,1.4023,5.1,2025-10-13 16:15:00,2025-10-13 18:00:00,1.40281,1.4021,1.40494,7.1,WIN,10.9,2025-10-13 23:45:00,1.4039,EOD Close
2025-10-16,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.40483,1.40406,7.7,2025-10-16 12:00:00,2025-10-16 13:00:00,1.40483,1.40386,1.40677,9.7,LOSS,-9.7,2025-10-16 14:15:00,1.40386,SL Hit
2025-10-16,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16538,1.16461,7.7,2025-10-16 12:45:00,2025-10-16 13:15:00,1.16538,1.16441,1.16732,9.7,WIN,19.4,2025-10-16 14:30:00,1.1673200000000004,TP Hit
2025-10-16,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,SHORT,1.34246,1.34222,2.4,2025-10-16 03:55:00,2025-10-16 04:00:00,1.34222,1.34266,1.34134,4.4,WIN,8.8,2025-10-16 04:40:00,1.34134,TP Hit
2025-10-17,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,SHORT,1.40465,1.40376,8.9,2025-10-17 16:15:00,2025-10-17 16:45:00,1.40376,1.40485,1.40103,10.9,WIN,27.3,2025-10-17 19:45:00,1.4010349999999998,TP Hit
2025-10-20,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.40323,1.40283,4.0,2025-10-20 17:45:00,2025-10-20 19:45:00,1.40323,1.40263,1.40503,6.0,WIN,0.6,2025-10-20 23:45:00,1.40329,EOD Close
