date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2025-08-01,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.3785,1.37791,5.9,2025-08-01 16:15:00,1.37876,1.37771,1.38138,10.5,WIN,26.2,2025-08-01 18:45:00,1.3813849999999999,TP Hit
2025-08-04,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.37779,1.37698,8.1,2025-08-04 17:15:00,1.37785,1.37678,1.38106,10.7,LOSS,-9.7,2025-08-04 23:45:00,1.37688,EOD Close
2025-08-06,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.33384,1.33273,11.1,2025-08-06 15:05:00,1.33405,1.33253,1.33861,15.2,WIN,16.4,2025-08-06 23:55:00,1.33569,EOD Close
2025-08-07,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.37386,1.37291,9.5,2025-08-07 11:30:00,1.37411,1.37271,1.37691,14.0,WIN,28.0,2025-08-07 14:30:00,1.3769099999999996,TP Hit
2025-08-07,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16548,1.16338,21.0,2025-08-07 14:15:00,1.16234,1.16568,1.15566,33.4,LOSS,-33.4,2025-08-07 20:00:00,1.16568,SL Hit
2025-08-07,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.3356,1.33529,3.1,2025-08-07 03:50:00,1.33579,1.33509,1.33719,7.0,WIN,14.0,2025-08-07 06:15:00,1.3371899999999999,TP Hit
2025-08-08,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,SHORT,1.37544,1.3749,5.4,2025-08-08 16:30:00,1.37489,1.37564,1.37302,7.5,LOSS,-7.5,2025-08-08 19:15:00,1.37564,SL Hit
2025-08-11,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.37875,1.37834,4.1,2025-08-11 16:00:00,1.3783,1.37895,1.37635,6.5,WIN,8.8,2025-08-11 23:45:00,1.37742,EOD Close
2025-08-13,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.35724,1.35658,6.6,2025-08-13 15:05:00,1.35628,1.35744,1.3528,11.6,LOSS,-11.6,2025-08-13 15:30:00,1.35744,SL Hit
2025-08-14,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.37829,1.37767,6.2,2025-08-14 11:45:00,1.37837,1.37747,1.38017,9.0,WIN,18.0,2025-08-14 13:00:00,1.3801700000000003,TP Hit
2025-08-14,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.16894,1.16833,6.1,2025-08-14 12:15:00,1.16818,1.16914,1.16626,9.6,WIN,19.2,2025-08-14 12:30:00,1.1662599999999999,TP Hit
2025-08-14,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.35731,1.35709,2.2,2025-08-14 03:55:00,1.35732,1.35689,1.35818,4.3,LOSS,-4.3,2025-08-14 05:25:00,1.35689,SL Hit
2025-08-15,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.38115,1.38077,3.8,2025-08-15 17:15:00,1.38131,1.38057,1.38316,7.4,WIN,4.4,2025-08-15 20:45:00,1.38175,EOD Close
2025-08-18,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.38231,1.38129,10.2,2025-08-18 16:00:00,1.38109,1.38251,1.37683,14.2,WIN,8.7,2025-08-18 23:45:00,1.38022,EOD Close
2025-08-20,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.3473,1.34673,5.7,2025-08-20 15:10:00,1.34654,1.3475,1.34366,9.6,WIN,0.2,2025-08-20 23:55:00,1.34652,EOD Close
